x_over_L,P_over_Pt,Mach,ro,u,P
1.98412710e-03,2.18423367e-01,1.64991283e+00,4.00758684e-01,4.55756683e+02,2.18423359e+04
1.98412710e-03,2.18420252e-01,1.64992189e+00,4.00754452e-01,4.55758392e+02,2.18420254e+04
1.98412710e-03,2.18423501e-01,1.64991224e+00,4.00758833e-01,4.55756622e+02,2.18423496e+04
5.95238106e-03,2.18423456e-01,1.64991236e+00,4.00758713e-01,4.55756653e+02,2.18423457e+04
5.95238106e-03,2.18420193e-01,1.64992213e+00,4.00754422e-01,4.55758423e+02,2.18420195e+04
5.95238106e-03,2.18423516e-01,1.64991236e+00,4.00758862e-01,4.55756653e+02,2.18423516e+04
9.92063526e-03,2.18423501e-01,1.64991164e+00,4.00758684e-01,4.55756561e+02,2.18423496e+04
9.92063526e-03,2.18420297e-01,1.64992177e+00,4.00754601e-01,4.55758301e+02,2.18420293e+04
9.92063526e-03,2.18423560e-01,1.64991188e+00,4.00758922e-01,4.55756531e+02,2.18423555e+04
1.38888890e-02,2.18423620e-01,1.64991176e+00,4.00758952e-01,4.55756561e+02,2.18423613e+04
1.38888890e-02,2.18420386e-01,1.64992201e+00,4.00754750e-01,4.55758392e+02,2.18420391e+04
1.38888890e-02,2.18423694e-01,1.64991164e+00,4.00758982e-01,4.55756561e+02,2.18423691e+04
1.78571437e-02,2.18423769e-01,1.64991188e+00,4.00759131e-01,4.55756653e+02,2.18423770e+04
1.78571437e-02,2.18420476e-01,1.64992142e+00,4.00754988e-01,4.55758148e+02,2.18420469e+04
1.78571437e-02,2.18423754e-01,1.64991105e+00,4.00759101e-01,4.55756409e+02,2.18423750e+04
2.18253974e-02,2.18423828e-01,1.64991188e+00,4.00759220e-01,4.55756622e+02,2.18423828e+04
2.18253974e-02,2.18420580e-01,1.64992106e+00,4.00754988e-01,4.55758209e+02,2.18420586e+04
2.18253974e-02,2.18423814e-01,1.64991081e+00,4.00759190e-01,4.55756348e+02,2.18423809e+04
2.57936511e-02,2.18423888e-01,1.64991128e+00,4.00759339e-01,4.55756470e+02,2.18423887e+04
2.57936511e-02,2.18420625e-01,1.64992142e+00,4.00755018e-01,4.55758301e+02,2.18420625e+04
2.57936511e-02,2.18423828e-01,1.64991081e+00,4.00759250e-01,4.55756348e+02,2.18423828e+04
2.97619049e-02,2.18423888e-01,1.64991093e+00,4.00759399e-01,4.55756378e+02,2.18423887e+04
2.97619049e-02,2.18420640e-01,1.64992106e+00,4.00755137e-01,4.55758209e+02,2.18420645e+04
2.97619049e-02,2.18424007e-01,1.64991033e+00,4.00759399e-01,4.55756317e+02,2.18424004e+04
3.37301604e-02,2.18424127e-01,1.64991081e+00,4.00759667e-01,4.55756378e+02,2.18424121e+04
3.37301604e-02,2.18420759e-01,1.64992070e+00,4.00755376e-01,4.55758057e+02,2.18420762e+04
3.37301604e-02,2.18423784e-01,1.64991140e+00,4.00759339e-01,4.55756409e+02,2.18423789e+04
3.76984142e-02,2.18424201e-01,1.64991069e+00,4.00759965e-01,4.55756317e+02,2.18424199e+04
3.76984142e-02,2.18420789e-01,1.64992070e+00,4.00755465e-01,4.55758026e+02,2.18420781e+04
3.76984142e-02,2.18423843e-01,1.64991128e+00,4.00759339e-01,4.55756409e+02,2.18423848e+04
4.16666679e-02,2.18424156e-01,1.64991093e+00,4.00759935e-01,4.55756317e+02,2.18424160e+04
4.16666679e-02,2.18420833e-01,1.64992058e+00,4.00755495e-01,4.55758087e+02,2.18420840e+04
4.16666679e-02,2.18423828e-01,1.64991140e+00,4.00759310e-01,4.55756439e+02,2.18423828e+04
4.56349216e-02,2.18424037e-01,1.64991045e+00,4.00759578e-01,4.55756226e+02,2.18424043e+04
4.56349216e-02,2.18420833e-01,1.64992046e+00,4.00755465e-01,4.55758057e+02,2.18420840e+04
4.56349216e-02,2.18424082e-01,1.64991069e+00,4.00759608e-01,4.55756348e+02,2.18424082e+04
4.96031791e-02,2.18424007e-01,1.64991045e+00,4.00759459e-01,4.55756287e+02,2.18424004e+04
4.96031791e-02,2.18420997e-01,1.64991975e+00,4.00755525e-01,4.55757965e+02,2.18420996e+04
4.96031791e-02,2.18424156e-01,1.64991009e+00,4.00759757e-01,4.55756195e+02,2.18424160e+04
5.35714328e-02,2.18424156e-01,1.64990938e+00,4.00759548e-01,4.55756134e+02,2.18424160e+04
5.35714328e-02,2.18420982e-01,1.64991987e+00,4.00755495e-01,4.55757996e+02,2.18420977e+04
