x_over_L,P_over_Pt,Mach,ro,u,P
1.98412710e-03,2.18394652e-01,1.64999998e+00,4.00720894e-01,4.55772369e+02,2.18394648e+04
1.98412710e-03,2.18394622e-01,1.65000093e+00,4.00720984e-01,4.55772522e+02,2.18394629e+04
1.98412710e-03,2.18394801e-01,1.64999962e+00,4.00721163e-01,4.55772278e+02,2.18394805e+04
5.95238106e-03,2.18394622e-01,1.65000010e+00,4.00720865e-01,4.55772400e+02,2.18394629e+04
5.95238106e-03,2.18394712e-01,1.65000045e+00,4.00721073e-01,4.55772430e+02,2.18394707e+04
5.95238106e-03,2.18394741e-01,1.65000033e+00,4.00721133e-01,4.55772400e+02,2.18394746e+04
9.92063526e-03,2.18394652e-01,1.64999998e+00,4.00720894e-01,4.55772369e+02,2.18394648e+04
9.92063526e-03,2.18394712e-01,1.65000093e+00,4.00721192e-01,4.55772461e+02,2.18394707e+04
9.92063526e-03,2.18394727e-01,1.65000045e+00,4.00721073e-01,4.55772430e+02,2.18394727e+04
1.38888890e-02,2.18394727e-01,1.65000045e+00,4.00721073e-01,4.55772430e+02,2.18394727e+04
1.38888890e-02,2.18394801e-01,1.65000010e+00,4.00721222e-01,4.55772339e+02,2.18394805e+04
1.38888890e-02,2.18394667e-01,1.65000033e+00,4.00720954e-01,4.55772400e+02,2.18394668e+04
1.78571437e-02,2.18394741e-01,1.64999986e+00,4.00721073e-01,4.55772339e+02,2.18394746e+04
1.78571437e-02,2.18394741e-01,1.65000045e+00,4.00721192e-01,4.55772400e+02,2.18394746e+04
1.78571437e-02,2.18394727e-01,1.65000010e+00,4.00721014e-01,4.55772400e+02,2.18394727e+04
2.18253974e-02,2.18394741e-01,1.65000021e+00,4.00721103e-01,4.55772369e+02,2.18394746e+04
2.18253974e-02,2.18394786e-01,1.65000021e+00,4.00721163e-01,4.55772369e+02,2.18394785e+04
2.18253974e-02,2.18394652e-01,1.65000033e+00,4.00720894e-01,4.55772461e+02,2.18394648e+04
2.57936511e-02,2.18394727e-01,1.65000010e+00,4.00721014e-01,4.55772400e+02,2.18394727e+04
2.57936511e-02,2.18394727e-01,1.65000033e+00,4.00721103e-01,4.55772400e+02,2.18394727e+04
2.57936511e-02,2.18394592e-01,1.65000093e+00,4.00720894e-01,4.55772522e+02,2.18394590e+04
2.97619049e-02,2.18394682e-01,1.65000021e+00,4.00720924e-01,4.55772430e+02,2.18394688e+04
2.97619049e-02,2.18394727e-01,1.65000057e+00,4.00721133e-01,4.55772430e+02,2.18394727e+04
2.97619049e-02,2.18394786e-01,1.64999986e+00,4.00721133e-01,4.55772339e+02,2.18394785e+04
3.37301604e-02,2.18394667e-01,1.65000069e+00,4.00721073e-01,4.55772461e+02,2.18394668e+04
3.37301604e-02,2.18394727e-01,1.65000033e+00,4.00721103e-01,4.55772400e+02,2.18394727e+04
3.37301604e-02,2.18394622e-01,1.65000045e+00,4.00720924e-01,4.55772430e+02,2.18394629e+04
3.76984142e-02,2.18394682e-01,1.65000057e+00,4.00721014e-01,4.55772491e+02,2.18394688e+04
3.76984142e-02,2.18394652e-01,1.65000081e+00,4.00721073e-01,4.55772430e+02,2.18394648e+04
3.76984142e-02,2.18394667e-01,1.65000033e+00,4.00720894e-01,4.55772461e+02,2.18394668e+04
4.16666679e-02,2.18394712e-01,1.65000057e+00,4.00721103e-01,4.55772430e+02,2.18394707e+04
4.16666679e-02,2.18394727e-01,1.65000021e+00,4.00721014e-01,4.55772430e+02,2.18394727e+04
4.16666679e-02,2.18394592e-01,1.65000105e+00,4.00720984e-01,4.55772522e+02,2.18394590e+04
4.56349216e-02,2.18394652e-01,1.65000069e+00,4.00720984e-01,4.55772461e+02,2.18394648e+04
4.56349216e-02,2.18394741e-01,1.64999974e+00,4.00720924e-01,4.55772339e+02,2.18394746e+04
4.56349216e-02,2.18394727e-01,1.65000021e+00,4.00721133e-01,4.55772339e+02,2.18394727e+04
4.96031791e-02,2.18394667e-01,1.65000057e+00,4.00721043e-01,4.55772430e+02,2.18394668e+04
4.96031791e-02,2.18394652e-01,1.65000057e+00,4.00720954e-01,4.55772461e+02,2.18394648e+04
4.96031791e-02,2.18394727e-01,1.65000045e+00,4.00721073e-01,4.55772430e+02,2.18394727e+04
5.35714328e-02,2.18394682e-01,1.65000045e+00,4.00721043e-01,4.55772430e+02,2.18394688e+04
5.35714328e-02,2.18394741e-01,1.64999986e+00,4.00720984e-01,4.55772339e+02,2.18394746e+04
5.35714328e-02,2.18394622e-01,1.65000081e+00,4.00721014e-01,4.55772491e+02,2.18394629e+04
5.75396866e-02,2.18394741e-01,1.64999974e+00,4.00721043e-01,4.55772308e+02,2.18394746e+04
5.75396866e-02,2.18394652e-01,1.65000057e+00,4.00720954e-01,4.55772461e+02,2.18394648e+04
5.75396866e-02,2.18394682e-01,1.65000033e+00,4.00721073e-01,4.55772369e+02,2.18394688e+04
6.15079403e-02,2.18394682e-01,1.65000057e+00,4.00721073e-01,4.55772430e+02,2.18394688e+04
6.15079403e-02,2.18394667e-01,1.65000033e+00,4.00720924e-01,4.55772461e+02,2.18394668e+04
6.15079403e-02,2.18394741e-01,1.65000010e+00,4.00721133e-01,4.55772339e+02,2.18394746e+04
6.54761866e-02,2.18394741e-01,1.65000033e+00,4.00721103e-01,4.55772400e+02,2.18394746e+04
6.54761866e-02,2.18394592e-01,1.65000081e+00,4.00720835e-01,4.55772552e+02,2.18394590e+04
6.54761866e-02,2.18394667e-01,1.65000021e+00,4.00720984e-01,4.55772369e+02,2.18394668e+04
6.94444478e-02,2.18394741e-01,1.65000033e+00,4.00721163e-01,4.55772369e+02,2.18394746e+04
6.94444478e-02,2.18394578e-01,1.65000129e+00,4.00720894e-01,4.55772614e+02,2.18394570e+04
6.94444478e-02,2.18394682e-01,1.65000010e+00,4.00720954e-01,4.55772400e+02,2.18394688e+04
7.34126940e-02,2.18394831e-01,1.64999974e+00,4.00721192e-01,4.55772308e+02,2.18394824e+04
7.34126940e-02,2.18394667e-01,1.65000069e+00,4.00720924e-01,4.55772552e+02,2.18394668e+04
7.34126940e-02,2.18394667e-01,1.65000057e+00,4.00721043e-01,4.55772430e+02,2.18394668e+04
7.73809552e-02,2.18394831e-01,1.64999986e+00,4.00721133e-01,4.55772339e+02,2.18394824e+04
7.73809552e-02,2.18394667e-01,1.65000057e+00,4.00721014e-01,4.55772491e+02,2.18394668e+04
7.73809552e-02,2.18394831e-01,1.64999998e+00,4.00721252e-01,4.55772308e+02,2.18394824e+04
8.13492090e-02,2.18394905e-01,1.64999986e+00,4.00721312e-01,4.55772339e+02,2.18394902e+04
8.13492090e-02,2.18394682e-01,1.65000057e+00,4.00721014e-01,4.55772491e+02,2.18394688e+04
8.13492090e-02,2.18394786e-01,1.65000010e+00,4.00721133e-01,4.55772400e+02,2.18394785e+04
8.53174627e-02,2.18394905e-01,1.64999962e+00,4.00721312e-01,4.55772278e+02,2.18394902e+04
8.53174627e-02,2.18394741e-01,1.65000045e+00,4.00721133e-01,4.55772430e+02,2.18394746e+04
8.53174627e-02,2.18394846e-01,1.64999962e+00,4.00721222e-01,4.55772278e+02,2.18394844e+04
8.92857090e-02,2.18395054e-01,1.64999914e+00,4.00721490e-01,4.55772186e+02,2.18395059e+04
8.92857090e-02,2.18394846e-01,1.65000010e+00,4.00721222e-01,4.55772400e+02,2.18394844e+04
8.92857090e-02,2.18394920e-01,1.64999962e+00,4.00721371e-01,4.55772278e+02,2.18394922e+04
9.32539701e-02,2.18394876e-01,1.64999962e+00,4.00721312e-01,4.55772247e+02,2.18394883e+04
9.32539701e-02,2.18394905e-01,1.64999974e+00,4.00721282e-01,4.55772308e+02,2.18394902e+04
9.32539701e-02,2.18395025e-01,1.64999962e+00,4.00721490e-01,4.55772247e+02,2.18395020e+04
9.72222313e-02,2.18395025e-01,1.64999974e+00,4.00721520e-01,4.55772308e+02,2.18395020e+04
9.72222313e-02,2.18394980e-01,1.64999962e+00,4.00721371e-01,4.55772308e+02,2.18394980e+04
9.72222313e-02,2.18394995e-01,1.64999962e+00,4.00721431e-01,4.55772278e+02,2.18395000e+04
1.01190478e-01,2.18395114e-01,1.64999938e+00,4.00721639e-01,4.55772247e+02,2.18395117e+04
1.01190478e-01,2.18394980e-01,1.64999938e+00,4.00721341e-01,4.55772247e+02,2.18394980e+04
1.01190478e-01,2.18394995e-01,1.64999962e+00,4.00721431e-01,4.55772278e+02,2.18395000e+04
1.05158724e-01,2.18395084e-01,1.64999950e+00,4.00721639e-01,4.55772217e+02,2.18395078e+04
1.05158724e-01,2.18395039e-01,1.64999914e+00,4.00721341e-01,4.55772247e+02,2.18395039e+04
1.05158724e-01,2.18394995e-01,1.64999962e+00,4.00721490e-01,4.55772247e+02,2.18395000e+04
1.09126985e-01,2.18395054e-01,1.64999938e+00,4.00721520e-01,4.55772247e+02,2.18395059e+04
1.09126985e-01,2.18395054e-01,1.64999890e+00,4.00721371e-01,4.55772217e+02,2.18395059e+04
1.09126985e-01,2.18395054e-01,1.64999962e+00,4.00721610e-01,4.55772278e+02,2.18395059e+04
1.13095231e-01,2.18395054e-01,1.64999974e+00,4.00721669e-01,4.55772247e+02,2.18395059e+04
1.13095231e-01,2.18395054e-01,1.64999914e+00,4.00721431e-01,4.55772217e+02,2.18395059e+04
1.13095231e-01,2.18395084e-01,1.64999938e+00,4.00721520e-01,4.55772247e+02,2.18395078e+04
1.17063500e-01,2.18395054e-01,1.64999962e+00,4.00721610e-01,4.55772278e+02,2.18395059e+04
1.17063500e-01,2.18395084e-01,1.64999890e+00,4.00721490e-01,4.55772125e+02,2.18395078e+04
1.17063500e-01,2.18395084e-01,1.64999938e+00,4.00721550e-01,4.55772247e+02,2.18395078e+04
