x_over_L,P_over_Pt,Mach,ro,u,P
1.98412710e-03,8.44360948e-01,4.97612506e-01,1.22600925e+00,1.69399490e+02,1.01486273e+05
1.98412710e-03,8.44327509e-01,4.97671455e-01,1.22597444e+00,1.69418594e+02,1.01482258e+05
1.98412710e-03,8.44293773e-01,4.97731000e-01,1.22593987e+00,1.69437881e+02,1.01478203e+05
5.95238106e-03,8.44376028e-01,4.97597963e-01,1.22602570e+00,1.69394897e+02,1.01488086e+05
5.95238106e-03,8.44340384e-01,4.97658908e-01,1.22598898e+00,1.69414612e+02,1.01483805e+05
5.95238106e-03,8.44304323e-01,4.97720301e-01,1.22595155e+00,1.69434479e+02,1.01479469e+05
9.92063526e-03,8.44385326e-01,4.97588277e-01,1.22603524e+00,1.69391876e+02,1.01489203e+05
9.92063526e-03,8.44348431e-01,4.97650236e-01,1.22599733e+00,1.69411911e+02,1.01484773e+05
9.92063526e-03,8.44311118e-01,4.97713000e-01,1.22595823e+00,1.69432220e+02,1.01480289e+05
1.38888890e-02,8.44319940e-01,4.97702360e-01,1.22596765e+00,1.69428833e+02,1.01481344e+05
1.38888890e-02,8.44358742e-01,4.97638285e-01,1.22600770e+00,1.69408142e+02,1.01486008e+05
1.38888890e-02,8.44396949e-01,4.97575015e-01,1.22604752e+00,1.69387695e+02,1.01490602e+05
1.78571437e-02,8.44409525e-01,4.97559726e-01,1.22606087e+00,1.69382828e+02,1.01492117e+05
1.78571437e-02,8.44369709e-01,4.97624338e-01,1.22601914e+00,1.69403702e+02,1.01487328e+05
1.78571437e-02,8.44329417e-01,4.97689813e-01,1.22597754e+00,1.69424835e+02,1.01482484e+05
2.18253974e-02,8.44423056e-01,4.97542113e-01,1.22607505e+00,1.69377213e+02,1.01493742e+05
2.18253974e-02,8.44381690e-01,4.97608304e-01,1.22603142e+00,1.69398605e+02,1.01488766e+05
2.18253974e-02,8.44339669e-01,4.97675210e-01,1.22598827e+00,1.69420151e+02,1.01483719e+05
2.57936511e-02,8.44437659e-01,4.97522175e-01,1.22608984e+00,1.69370865e+02,1.01495492e+05
