x_over_L,P_over_Pt,Mach,ro,u,P
1.98412710e-03,8.44212472e-01,4.97873902e-01,1.22585595e+00,1.69484161e+02,1.01468430e+05
1.98412710e-03,8.44182849e-01,4.97926742e-01,1.22582519e+00,1.69501312e+02,1.01464867e+05
1.98412710e-03,8.44152749e-01,4.97980386e-01,1.22579396e+00,1.69518707e+02,1.01461250e+05
5.95238106e-03,8.44214559e-01,4.97870445e-01,1.22585821e+00,1.69483047e+02,1.01468680e+05
5.95238106e-03,8.44184935e-01,4.97923642e-01,1.22582757e+00,1.69500290e+02,1.01465117e+05
5.95238106e-03,8.44154537e-01,4.97977287e-01,1.22579598e+00,1.69517685e+02,1.01461469e+05
9.92063526e-03,8.44217360e-01,4.97865319e-01,1.22586095e+00,1.69481384e+02,1.01469016e+05
9.92063526e-03,8.44187498e-01,4.97918487e-01,1.22583044e+00,1.69498596e+02,1.01465430e+05
9.92063526e-03,8.44157100e-01,4.97972608e-01,1.22579849e+00,1.69516174e+02,1.01461773e+05
1.38888890e-02,8.44161332e-01,4.97965246e-01,1.22580302e+00,1.69513779e+02,1.01462281e+05
1.38888890e-02,8.44191849e-01,4.97910798e-01,1.22583473e+00,1.69496109e+02,1.01465953e+05
1.38888890e-02,8.44221771e-01,4.97857273e-01,1.22586560e+00,1.69478775e+02,1.01469547e+05
1.78571437e-02,8.44227850e-01,4.97846484e-01,1.22587180e+00,1.69475281e+02,1.01470281e+05
1.78571437e-02,8.44197512e-01,4.97900575e-01,1.22584069e+00,1.69492798e+02,1.01466633e+05
1.78571437e-02,8.44166696e-01,4.97955471e-01,1.22580838e+00,1.69510620e+02,1.01462930e+05
2.18253974e-02,8.44235361e-01,4.97833133e-01,1.22587979e+00,1.69470932e+02,1.01471180e+05
2.18253974e-02,8.44204724e-01,4.97887522e-01,1.22584796e+00,1.69488586e+02,1.01467500e+05
2.18253974e-02,8.44173670e-01,4.97943163e-01,1.22581553e+00,1.69506638e+02,1.01463766e+05
2.57936511e-02,8.44244480e-01,4.97816682e-01,1.22588909e+00,1.69465607e+02,1.01472273e+05
2.57936511e-02,8.44213426e-01,4.97872025e-01,1.22585702e+00,1.69483551e+02,1.01468547e+05
2.57936511e-02,8.44181776e-01,4.97928262e-01,1.22582424e+00,1.69501785e+02,1.01464742e+05
2.97619049e-02,8.44191670e-01,4.97910827e-01,1.22583449e+00,1.69496124e+02,1.01465930e+05
2.97619049e-02,8.44223440e-01,4.97853965e-01,1.22586751e+00,1.69477676e+02,1.01469750e+05
2.97619049e-02,8.44254971e-01,4.97797817e-01,1.22590005e+00,1.69459473e+02,1.01473539e+05
3.37301604e-02,8.44267249e-01,4.97776002e-01,1.22591281e+00,1.69452393e+02,1.01475016e+05
3.37301604e-02,8.44235241e-01,4.97833073e-01,1.22587967e+00,1.69470917e+02,1.01471164e+05
3.37301604e-02,8.44202936e-01,4.97890979e-01,1.22584581e+00,1.69489716e+02,1.01467281e+05
3.76984142e-02,8.44280779e-01,4.97751534e-01,1.22592700e+00,1.69444458e+02,1.01476641e+05
3.76984142e-02,8.44248354e-01,4.97809410e-01,1.22589350e+00,1.69463226e+02,1.01472742e+05
3.76984142e-02,8.44215274e-01,4.97868538e-01,1.22585881e+00,1.69482422e+02,1.01468766e+05
4.16666679e-02,8.44296336e-01,4.97723967e-01,1.22594297e+00,1.69435516e+02,1.01478508e+05
4.16666679e-02,8.44263196e-01,4.97783154e-01,1.22590864e+00,1.69454712e+02,1.01474523e+05
4.16666679e-02,8.44229519e-01,4.97843295e-01,1.22587359e+00,1.69474243e+02,1.01470477e+05
4.56349216e-02,8.44244897e-01,4.97815639e-01,1.22588968e+00,1.69465256e+02,1.01472328e+05
4.56349216e-02,8.44279468e-01,4.97754067e-01,1.22592556e+00,1.69445282e+02,1.01476484e+05
4.56349216e-02,8.44313323e-01,4.97693360e-01,1.22596061e+00,1.69425598e+02,1.01480555e+05
4.96031791e-02,8.44331920e-01,4.97660100e-01,1.22598016e+00,1.69414795e+02,1.01482789e+05
4.96031791e-02,8.44297230e-01,4.97722358e-01,1.22594392e+00,1.69434998e+02,1.01478617e+05
4.96031791e-02,8.44262064e-01,4.97785091e-01,1.22590756e+00,1.69455338e+02,1.01474391e+05
5.35714328e-02,8.44352245e-01,4.97623771e-01,1.22600126e+00,1.69402985e+02,1.01485227e+05
5.35714328e-02,8.44316721e-01,4.97687608e-01,1.22596443e+00,1.69423706e+02,1.01480961e+05
5.35714328e-02,8.44280601e-01,4.97751892e-01,1.22592652e+00,1.69444595e+02,1.01476617e+05
5.75396866e-02,8.44374239e-01,4.97584552e-01,1.22602391e+00,1.69390274e+02,1.01487875e+05
5.75396866e-02,8.44337881e-01,4.97649938e-01,1.22598612e+00,1.69411499e+02,1.01483500e+05
5.75396866e-02,8.44300628e-01,4.97716218e-01,1.22594750e+00,1.69432999e+02,1.01479023e+05
6.15079403e-02,8.44322443e-01,4.97677118e-01,1.22597003e+00,1.69420334e+02,1.01481648e+05
6.15079403e-02,8.44360411e-01,4.97609317e-01,1.22600949e+00,1.69398331e+02,1.01486211e+05
6.15079403e-02,8.44398141e-01,4.97541934e-01,1.22604859e+00,1.69376465e+02,1.01490742e+05
6.54761866e-02,8.44423592e-01,4.97496456e-01,1.22607505e+00,1.69361710e+02,1.01493805e+05
6.54761866e-02,8.44384909e-01,4.97565538e-01,1.22603500e+00,1.69384125e+02,1.01489156e+05
6.54761866e-02,8.44345748e-01,4.97635454e-01,1.22599423e+00,1.69406799e+02,1.01484445e+05
6.94444478e-02,8.44450891e-01,4.97447520e-01,1.22610331e+00,1.69345840e+02,1.01497086e+05
6.94444478e-02,8.44411194e-01,4.97518808e-01,1.22606194e+00,1.69368988e+02,1.01492312e+05
6.94444478e-02,8.44370723e-01,4.97590870e-01,1.22602022e+00,1.69392349e+02,1.01487453e+05
7.34126940e-02,8.44480276e-01,4.97395307e-01,1.22613370e+00,1.69328918e+02,1.01500617e+05
7.34126940e-02,8.44439149e-01,4.97468799e-01,1.22609103e+00,1.69352753e+02,1.01495672e+05
7.34126940e-02,8.44397306e-01,4.97543424e-01,1.22604752e+00,1.69376968e+02,1.01490648e+05
7.73809552e-02,8.44425559e-01,4.97492909e-01,1.22607684e+00,1.69360580e+02,1.01494039e+05
7.73809552e-02,8.44468772e-01,4.97415870e-01,1.22612143e+00,1.69335602e+02,1.01499234e+05
7.73809552e-02,8.44511271e-01,4.97339964e-01,1.22616589e+00,1.69310959e+02,1.01504344e+05
8.13492090e-02,8.44544351e-01,4.97280777e-01,1.22620010e+00,1.69291763e+02,1.01508320e+05
8.13492090e-02,8.44500244e-01,4.97359544e-01,1.22615409e+00,1.69317337e+02,1.01503016e+05
8.13492090e-02,8.44455600e-01,4.97439265e-01,1.22610807e+00,1.69343170e+02,1.01497648e+05
8.53174627e-02,8.44579339e-01,4.97218162e-01,1.22623622e+00,1.69271469e+02,1.01512523e+05
8.53174627e-02,8.44533503e-01,4.97300088e-01,1.22618902e+00,1.69298004e+02,1.01507016e+05
8.53174627e-02,8.44487488e-01,4.97382492e-01,1.22614110e+00,1.69324768e+02,1.01501484e+05
8.92857090e-02,8.44616234e-01,4.97152179e-01,1.22627461e+00,1.69250046e+02,1.01516961e+05
8.92857090e-02,8.44568968e-01,4.97236937e-01,1.22622573e+00,1.69277542e+02,1.01511281e+05
8.92857090e-02,8.44520807e-01,4.97322619e-01,1.22617567e+00,1.69305344e+02,1.01505492e+05
9.32539701e-02,8.44556272e-01,4.97259498e-01,1.22621250e+00,1.69284851e+02,1.01509750e+05
9.32539701e-02,8.44606161e-01,4.97170359e-01,1.22626412e+00,1.69255951e+02,1.01515750e+05
9.32539701e-02,8.44655335e-01,4.97082353e-01,1.22631502e+00,1.69227402e+02,1.01521656e+05
9.72222313e-02,8.44696581e-01,4.97008830e-01,1.22635782e+00,1.69203552e+02,1.01526617e+05
9.72222313e-02,8.44645381e-01,4.97100294e-01,1.22630489e+00,1.69233200e+02,1.01520461e+05
9.72222313e-02,8.44593525e-01,4.97192979e-01,1.22625113e+00,1.69263290e+02,1.01514227e+05
1.01190478e-01,8.44739854e-01,4.96931404e-01,1.22640264e+00,1.69178436e+02,1.01531820e+05
1.01190478e-01,8.44686568e-01,4.97026473e-01,1.22634757e+00,1.69209274e+02,1.01525414e+05
1.01190478e-01,8.44632566e-01,4.97123003e-01,1.22629154e+00,1.69240570e+02,1.01518922e+05
1.05158724e-01,8.44785273e-01,4.96850312e-01,1.22644997e+00,1.69152115e+02,1.01537273e+05
1.05158724e-01,8.44729841e-01,4.96949285e-01,1.22639263e+00,1.69184204e+02,1.01530617e+05
1.05158724e-01,8.44673812e-01,4.97049510e-01,1.22633421e+00,1.69216751e+02,1.01523883e+05
1.09126985e-01,8.44716787e-01,4.96972680e-01,1.22637844e+00,1.69191833e+02,1.01529047e+05
1.09126985e-01,8.44775259e-01,4.96868283e-01,1.22643960e+00,1.69157928e+02,1.01536070e+05
1.09126985e-01,8.44832897e-01,4.96764868e-01,1.22649908e+00,1.69124405e+02,1.01543000e+05
1.13095231e-01,8.44883025e-01,4.96675551e-01,1.22655106e+00,1.69095428e+02,1.01549023e+05
1.13095231e-01,8.44822764e-01,4.96783555e-01,1.22648895e+00,1.69130432e+02,1.01541781e+05
1.13095231e-01,8.44761670e-01,4.96892452e-01,1.22642529e+00,1.69165787e+02,1.01534438e+05
1.17063500e-01,8.44935179e-01,4.96582240e-01,1.22660530e+00,1.69065140e+02,1.01555297e+05
1.17063500e-01,8.44872355e-01,4.96694684e-01,1.22654033e+00,1.69101624e+02,1.01547742e+05
1.17063500e-01,8.44808936e-01,4.96808171e-01,1.22647393e+00,1.69138474e+02,1.01540117e+05
1.21031754e-01,8.44989896e-01,4.96484697e-01,1.22666204e+00,1.69033493e+02,1.01561867e+05
1.21031754e-01,8.44924152e-01,4.96601820e-01,1.22659385e+00,1.69071487e+02,1.01553969e+05
1.21031754e-01,8.44857872e-01,4.96720672e-01,1.22652507e+00,1.69110062e+02,1.01546000e+05
1.25000000e-01,8.44909012e-01,4.96629268e-01,1.22657812e+00,1.69080399e+02,1.01552148e+05
1.25000000e-01,8.44978273e-01,4.96505260e-01,1.22665000e+00,1.69040161e+02,1.01560477e+05
1.25000000e-01,8.45046937e-01,4.96382684e-01,1.22672141e+00,1.69000381e+02,1.01568727e+05
1.28968254e-01,8.45106423e-01,4.96276319e-01,1.22678304e+00,1.68965866e+02,1.01575875e+05
1.28968254e-01,8.45034838e-01,4.96404320e-01,1.22670853e+00,1.69007416e+02,1.01567273e+05
1.28968254e-01,8.44962180e-01,4.96534258e-01,1.22663319e+00,1.69049576e+02,1.01558539e+05
1.32936493e-01,8.45168710e-01,4.96165335e-01,1.22684741e+00,1.68929871e+02,1.01583359e+05
1.32936493e-01,8.45093429e-01,4.96299535e-01,1.22676945e+00,1.68973404e+02,1.01574312e+05
1.32936493e-01,8.45017433e-01,4.96435463e-01,1.22669065e+00,1.69017517e+02,1.01565180e+05
1.36904761e-01,8.45233083e-01,4.96049941e-01,1.22691453e+00,1.68892395e+02,1.01591102e+05
1.36904761e-01,8.45154405e-01,4.96190578e-01,1.22683275e+00,1.68938049e+02,1.01581641e+05
1.36904761e-01,8.45074952e-01,4.96332735e-01,1.22675025e+00,1.68984177e+02,1.01572094e+05
1.40873030e-01,8.45134437e-01,4.96226013e-01,1.22681212e+00,1.68949539e+02,1.01579242e+05
1.40873030e-01,8.45217764e-01,4.96077418e-01,1.22689843e+00,1.68901321e+02,1.01589258e+05
1.40873030e-01,8.45300138e-01,4.95930016e-01,1.22698402e+00,1.68853470e+02,1.01599156e+05
1.44841269e-01,8.45369995e-01,4.95805293e-01,1.22705626e+00,1.68813019e+02,1.01607555e+05
1.44841269e-01,8.45283329e-01,4.95959997e-01,1.22696638e+00,1.68863220e+02,1.01597141e+05
1.44841269e-01,8.45196187e-01,4.96115834e-01,1.22687602e+00,1.68913803e+02,1.01586664e+05
1.48809522e-01,8.45441997e-01,4.95676160e-01,1.22713089e+00,1.68771103e+02,1.01616211e+05
1.48809522e-01,8.45351398e-01,4.95838404e-01,1.22703695e+00,1.68823761e+02,1.01605320e+05
1.48809522e-01,8.45259726e-01,4.96002108e-01,1.22694206e+00,1.68876877e+02,1.01594305e+05
1.52777761e-01,8.45516860e-01,4.95542377e-01,1.22720838e+00,1.68727707e+02,1.01625211e+05
1.52777761e-01,8.45421672e-01,4.95712608e-01,1.22710967e+00,1.68782944e+02,1.01613766e+05
1.52777761e-01,8.45325589e-01,4.95884448e-01,1.22701037e+00,1.68838699e+02,1.01602219e+05
1.56746030e-01,8.45393658e-01,4.95762885e-01,1.22708082e+00,1.68799255e+02,1.01610398e+05
1.56746030e-01,8.45494270e-01,4.95582670e-01,1.22718489e+00,1.68740768e+02,1.01622492e+05
1.56746030e-01,8.45594287e-01,4.95404005e-01,1.22728872e+00,1.68682785e+02,1.01634516e+05
1.60714284e-01,8.45674157e-01,4.95260894e-01,1.22737169e+00,1.68636322e+02,1.01644117e+05
1.60714284e-01,8.45569015e-01,4.95448977e-01,1.22726262e+00,1.68697372e+02,1.01631477e+05
1.60714284e-01,8.45463216e-01,4.95638102e-01,1.22715306e+00,1.68758743e+02,1.01618758e+05
1.64682552e-01,8.45756650e-01,4.95113313e-01,1.22745717e+00,1.68588425e+02,1.01654031e+05
1.64682552e-01,8.45646083e-01,4.95310992e-01,1.22734249e+00,1.68652588e+02,1.01640742e+05
1.64682552e-01,8.45534861e-01,4.95509923e-01,1.22722745e+00,1.68717133e+02,1.01627375e+05
1.68650791e-01,8.45841646e-01,4.94961113e-01,1.22754526e+00,1.68539017e+02,1.01664242e+05
1.68650791e-01,8.45725417e-01,4.95169073e-01,1.22742498e+00,1.68606506e+02,1.01650273e+05
1.68650791e-01,8.45608473e-01,4.95378345e-01,1.22730374e+00,1.68674423e+02,1.01636219e+05
1.72619045e-01,8.45683873e-01,4.95243520e-01,1.22738171e+00,1.68630692e+02,1.01645281e+05
1.72619045e-01,8.45806777e-01,4.95023370e-01,1.22750926e+00,1.68559219e+02,1.01660055e+05
