# Wyslouzil et al. JCP 113, 7317 (2000) Fig.3 — water condensation, pv0=1.00 kPa
# conditions: p0=59.07 kPa, T0=286.65 K (13.5C), N2 carrier, water partial pressure 1.0 kPa
#   mole fraction y=pv0/p0=0.0169, water ~1.1% by mass. onset criterion dT=0.5K.
# 手読み (Fig.3 1.00kPa circles と isentrope)。x=throat からの距離[cm], p/p0
distance_cm,pp0_isentrope,pp0_cond_1kPa
0.0,0.510,0.510
1.0,0.395,0.395
2.0,0.340,0.340
2.5,0.305,0.375
3.0,0.290,0.355
3.5,0.275,0.340
4.0,0.265,0.320
4.5,0.252,0.305
5.0,0.240,0.290
6.0,0.225,0.265
7.0,0.210,0.250
8.0,0.195,0.240
