Step , TotalTime , T , P , Ux , Uy , Uz
20 , 9.5e-09 , 232.396 , 638.333 , 425.857 , 6.45404 , 0.227852
40 , 1.95e-08 , 232.424 , 638.57 , 425.906 , 6.4215 , 0.226469
60 , 2.95e-08 , 232.453 , 638.813 , 425.956 , 6.3878 , 0.22504
80 , 3.95e-08 , 232.481 , 639.061 , 426.008 , 6.35299 , 0.223568
100 , 4.94999e-08 , 232.51 , 639.314 , 426.062 , 6.3172 , 0.222057
120 , 5.94999e-08 , 232.539 , 639.572 , 426.117 , 6.28048 , 0.22051
140 , 6.94999e-08 , 232.567 , 639.833 , 426.174 , 6.24292 , 0.218929
160 , 7.95e-08 , 232.597 , 640.098 , 426.231 , 6.20463 , 0.21732
180 , 8.95e-08 , 232.625 , 640.366 , 426.29 , 6.1657 , 0.215687
200 , 9.95e-08 , 232.654 , 640.634 , 426.351 , 6.12625 , 0.214032
220 , 1.095e-07 , 232.682 , 640.905 , 426.412 , 6.08635 , 0.21236
240 , 1.195e-07 , 232.71 , 641.176 , 426.474 , 6.04605 , 0.210673
260 , 1.295e-07 , 232.738 , 641.448 , 426.537 , 6.00552 , 0.208977
280 , 1.395e-07 , 232.765 , 641.718 , 426.601 , 5.96493 , 0.207278
300 , 1.495e-07 , 232.791 , 641.986 , 426.665 , 5.92431 , 0.205578
320 , 1.595e-07 , 232.817 , 642.251 , 426.73 , 5.88373 , 0.203879
340 , 1.695e-07 , 232.842 , 642.516 , 426.795 , 5.84333 , 0.202188
360 , 1.79499e-07 , 232.867 , 642.778 , 426.86 , 5.80328 , 0.200511
380 , 1.89499e-07 , 232.891 , 643.036 , 426.925 , 5.76366 , 0.198851
400 , 1.99499e-07 , 232.914 , 643.29 , 426.991 , 5.72458 , 0.197211
420 , 2.09499e-07 , 232.936 , 643.538 , 427.056 , 5.68611 , 0.195597
440 , 2.19499e-07 , 232.957 , 643.781 , 427.121 , 5.64837 , 0.194011
460 , 2.29499e-07 , 232.977 , 644.018 , 427.186 , 5.61142 , 0.192456
480 , 2.39499e-07 , 232.997 , 644.248 , 427.25 , 5.57536 , 0.190936
500 , 2.49499e-07 , 233.015 , 644.471 , 427.314 , 5.54026 , 0.189455
520 , 2.59499e-07 , 233.032 , 644.686 , 427.377 , 5.5062 , 0.188014
540 , 2.69499e-07 , 233.048 , 644.893 , 427.44 , 5.47323 , 0.186617
560 , 2.79498e-07 , 233.062 , 645.092 , 427.501 , 5.44144 , 0.185266
580 , 2.89498e-07 , 233.076 , 645.282 , 427.562 , 5.41087 , 0.183964
600 , 2.99498e-07 , 233.088 , 645.462 , 427.621 , 5.38155 , 0.182711
620 , 3.09498e-07 , 233.099 , 645.633 , 427.68 , 5.35355 , 0.18151
640 , 3.19498e-07 , 233.109 , 645.794 , 427.737 , 5.32686 , 0.180361
660 , 3.29498e-07 , 233.118 , 645.947 , 427.793 , 5.30152 , 0.179265
680 , 3.39498e-07 , 233.125 , 646.089 , 427.848 , 5.27754 , 0.178223
700 , 3.49498e-07 , 233.132 , 646.221 , 427.902 , 5.25489 , 0.177234
720 , 3.59498e-07 , 233.137 , 646.343 , 427.955 , 5.23356 , 0.176296
