Step , TotalTime , T , P , Ux , Uy , Uz
100000 , 4.99491e-05 , 232.39 , 640.16 , 426.33 , 6.31218 , 0.228561
100020 , 4.9959e-05 , 232.386 , 640.119 , 426.31 , 6.31265 , 0.228484
100040 , 4.9969e-05 , 232.38 , 640.076 , 426.291 , 6.31317 , 0.22841
100060 , 4.9979e-05 , 232.375 , 640.031 , 426.271 , 6.31364 , 0.228333
100080 , 4.99889e-05 , 232.37 , 639.987 , 426.251 , 6.3141 , 0.228256
100100 , 4.99989e-05 , 232.365 , 639.943 , 426.23 , 6.31458 , 0.22818
100120 , 5.00089e-05 , 232.36 , 639.897 , 426.208 , 6.31504 , 0.228104
100140 , 5.00188e-05 , 232.355 , 639.85 , 426.187 , 6.31561 , 0.228031
100160 , 5.00288e-05 , 232.35 , 639.802 , 426.165 , 6.31626 , 0.227962
100180 , 5.00388e-05 , 232.344 , 639.752 , 426.143 , 6.31693 , 0.227893
100200 , 5.00487e-05 , 232.338 , 639.702 , 426.12 , 6.31771 , 0.227829
100220 , 5.00587e-05 , 232.332 , 639.651 , 426.096 , 6.3186 , 0.227769
100240 , 5.00687e-05 , 232.327 , 639.6 , 426.073 , 6.31962 , 0.227715
100260 , 5.00786e-05 , 232.321 , 639.546 , 426.05 , 6.32076 , 0.227665
100280 , 5.00886e-05 , 232.315 , 639.492 , 426.026 , 6.32201 , 0.227619
100300 , 5.00986e-05 , 232.309 , 639.436 , 426.003 , 6.32337 , 0.227578
100320 , 5.01085e-05 , 232.303 , 639.38 , 425.979 , 6.32483 , 0.227541
100340 , 5.01185e-05 , 232.297 , 639.324 , 425.954 , 6.32637 , 0.227507
100360 , 5.01285e-05 , 232.291 , 639.267 , 425.93 , 6.32797 , 0.227475
100380 , 5.01384e-05 , 232.284 , 639.209 , 425.906 , 6.32972 , 0.22745
100400 , 5.01484e-05 , 232.277 , 639.149 , 425.881 , 6.33157 , 0.227428
100420 , 5.01584e-05 , 232.271 , 639.09 , 425.855 , 6.33351 , 0.22741
100440 , 5.01684e-05 , 232.265 , 639.031 , 425.829 , 6.33559 , 0.227398
100460 , 5.01783e-05 , 232.259 , 638.971 , 425.804 , 6.33779 , 0.22739
100480 , 5.01883e-05 , 232.254 , 638.913 , 425.778 , 6.34012 , 0.227388
100500 , 5.01983e-05 , 232.248 , 638.852 , 425.751 , 6.34254 , 0.227389
100520 , 5.02082e-05 , 232.241 , 638.789 , 425.726 , 6.34508 , 0.227395
100540 , 5.02182e-05 , 232.235 , 638.729 , 425.699 , 6.3477 , 0.227404
100560 , 5.02282e-05 , 232.229 , 638.668 , 425.672 , 6.3503 , 0.227413
100580 , 5.02381e-05 , 232.223 , 638.607 , 425.645 , 6.3529 , 0.227422
100600 , 5.02481e-05 , 232.218 , 638.546 , 425.618 , 6.35557 , 0.227434
100620 , 5.02581e-05 , 232.212 , 638.486 , 425.591 , 6.35842 , 0.227452
100640 , 5.0268e-05 , 232.206 , 638.425 , 425.564 , 6.36144 , 0.227478
100660 , 5.0278e-05 , 232.2 , 638.364 , 425.537 , 6.36459 , 0.227509
100680 , 5.0288e-05 , 232.194 , 638.303 , 425.51 , 6.36786 , 0.227545
100700 , 5.02979e-05 , 232.188 , 638.242 , 425.484 , 6.37132 , 0.227588
100720 , 5.03079e-05 , 232.183 , 638.182 , 425.457 , 6.37499 , 0.227639
100740 , 5.03179e-05 , 232.177 , 638.121 , 425.43 , 6.37885 , 0.227699
100760 , 5.03278e-05 , 232.171 , 638.061 , 425.402 , 6.38284 , 0.227763
100780 , 5.03378e-05 , 232.166 , 638.001 , 425.375 , 6.38699 , 0.227834
100800 , 5.03478e-05 , 232.161 , 637.943 , 425.348 , 6.39131 , 0.227912
100820 , 5.03577e-05 , 232.156 , 637.884 , 425.32 , 6.39578 , 0.227997
100840 , 5.03677e-05 , 232.151 , 637.826 , 425.293 , 6.40041 , 0.228087
100860 , 5.03777e-05 , 232.146 , 637.768 , 425.266 , 6.40513 , 0.228181
100880 , 5.03877e-05 , 232.141 , 637.711 , 425.238 , 6.40991 , 0.228278
