Step , TotalTime , T , P , Ux , Uy , Uz
20 , 9.5e-09 , 225.324 , 1433.27 , 523.718 , 37.8759 , 1.5485
40 , 1.95e-08 , 225.398 , 1434.59 , 523.868 , 37.7217 , 1.59407
60 , 2.95e-08 , 225.455 , 1435.58 , 524.027 , 37.6182 , 1.63371
80 , 3.95e-08 , 225.494 , 1436.22 , 524.187 , 37.5656 , 1.66576
100 , 4.94999e-08 , 225.516 , 1436.49 , 524.336 , 37.5611 , 1.68889
120 , 5.94999e-08 , 225.524 , 1436.41 , 524.47 , 37.6005 , 1.70222
140 , 6.94999e-08 , 225.522 , 1436.06 , 524.588 , 37.6747 , 1.70513
160 , 7.95e-08 , 225.515 , 1435.58 , 524.699 , 37.7701 , 1.69722
180 , 8.95e-08 , 225.508 , 1435.09 , 524.815 , 37.8723 , 1.67839
200 , 9.95e-08 , 225.503 , 1434.73 , 524.946 , 37.9706 , 1.64893
220 , 1.095e-07 , 225.501 , 1434.58 , 525.098 , 38.0579 , 1.6095
240 , 1.195e-07 , 225.502 , 1434.7 , 525.28 , 38.1274 , 1.56097
260 , 1.295e-07 , 225.509 , 1435.17 , 525.501 , 38.1718 , 1.50444
280 , 1.395e-07 , 225.518 , 1436.03 , 525.769 , 38.1868 , 1.44129
300 , 1.495e-07 , 225.526 , 1437.24 , 526.08 , 38.1749 , 1.37343
320 , 1.595e-07 , 225.524 , 1438.67 , 526.416 , 38.1467 , 1.30322
340 , 1.695e-07 , 225.507 , 1440.16 , 526.76 , 38.115 , 1.2332
360 , 1.79499e-07 , 225.473 , 1441.57 , 527.093 , 38.0895 , 1.16584
380 , 1.89499e-07 , 225.42 , 1442.8 , 527.402 , 38.0759 , 1.10333
400 , 1.99499e-07 , 225.346 , 1443.75 , 527.671 , 38.081 , 1.04765
420 , 2.09499e-07 , 225.251 , 1444.28 , 527.878 , 38.1143 , 1.00054
440 , 2.19499e-07 , 225.132 , 1444.29 , 528.003 , 38.1849 , 0.963331
460 , 2.29499e-07 , 224.997 , 1443.7 , 528.031 , 38.2961 , 0.93664
480 , 2.39499e-07 , 224.851 , 1442.55 , 527.956 , 38.4432 , 0.920333
500 , 2.49499e-07 , 224.703 , 1440.88 , 527.776 , 38.6158 , 0.913699
520 , 2.59499e-07 , 224.56 , 1438.78 , 527.494 , 38.8011 , 0.915729
540 , 2.69499e-07 , 224.432 , 1436.38 , 527.118 , 38.9851 , 0.925353
560 , 2.79498e-07 , 224.324 , 1433.79 , 526.66 , 39.1531 , 0.941616
580 , 2.89498e-07 , 224.243 , 1431.18 , 526.14 , 39.2907 , 0.963792
600 , 2.99498e-07 , 224.194 , 1428.69 , 525.581 , 39.3859 , 0.991423
620 , 3.09498e-07 , 224.178 , 1426.44 , 525.004 , 39.4311 , 1.02426
640 , 3.19498e-07 , 224.194 , 1424.52 , 524.433 , 39.4234 , 1.06193
660 , 3.29498e-07 , 224.242 , 1423.03 , 523.894 , 39.3617 , 1.10374
680 , 3.39498e-07 , 224.32 , 1422.04 , 523.413 , 39.245 , 1.14836
700 , 3.49498e-07 , 224.427 , 1421.64 , 523.017 , 39.0728 , 1.19388
720 , 3.59498e-07 , 224.555 , 1421.85 , 522.723 , 38.8474 , 1.23795
740 , 3.69497e-07 , 224.697 , 1422.63 , 522.541 , 38.5769 , 1.27816
760 , 3.79497e-07 , 224.842 , 1423.88 , 522.467 , 38.2758 , 1.31229
780 , 3.89497e-07 , 224.978 , 1425.42 , 522.487 , 37.9637 , 1.33867
800 , 3.99497e-07 , 225.096 , 1427.05 , 522.579 , 37.6631 , 1.35633
820 , 4.09497e-07 , 225.188 , 1428.59 , 522.72 , 37.3937 , 1.3651
840 , 4.19497e-07 , 225.255 , 1429.92 , 522.893 , 37.1672 , 1.36552
860 , 4.29497e-07 , 225.301 , 1431.06 , 523.096 , 36.9848 , 1.3587
880 , 4.39497e-07 , 225.334 , 1432.1 , 523.336 , 36.8404 , 1.34629
900 , 4.49497e-07 , 225.36 , 1433.14 , 523.619 , 36.726 , 1.3304
920 , 4.59497e-07 , 225.383 , 1434.27 , 523.95 , 36.6355 , 1.31335
