Step , TotalTime , T , P , Ux , Uy , Uz
20 , 9.5e-09 , 232.145 , 639.953 , 426.196 , 6.93894 , 0.260074
40 , 1.95e-08 , 232.157 , 639.997 , 426.185 , 6.90665 , 0.2587
60 , 2.95e-08 , 232.167 , 640.039 , 426.175 , 6.87404 , 0.257313
80 , 3.95e-08 , 232.178 , 640.081 , 426.166 , 6.84124 , 0.255917
100 , 4.94999e-08 , 232.188 , 640.123 , 426.157 , 6.80825 , 0.254512
120 , 5.94999e-08 , 232.198 , 640.163 , 426.149 , 6.77513 , 0.253102
140 , 6.94999e-08 , 232.208 , 640.201 , 426.142 , 6.74204 , 0.251693
160 , 7.95e-08 , 232.217 , 640.237 , 426.136 , 6.70904 , 0.250286
180 , 8.95e-08 , 232.225 , 640.272 , 426.129 , 6.67608 , 0.24888
200 , 9.95e-08 , 232.234 , 640.305 , 426.123 , 6.64323 , 0.247479
220 , 1.095e-07 , 232.241 , 640.336 , 426.118 , 6.61072 , 0.246091
240 , 1.195e-07 , 232.249 , 640.365 , 426.112 , 6.57855 , 0.244716
260 , 1.295e-07 , 232.255 , 640.391 , 426.107 , 6.54677 , 0.243356
280 , 1.395e-07 , 232.261 , 640.413 , 426.104 , 6.51541 , 0.242013
300 , 1.495e-07 , 232.267 , 640.432 , 426.1 , 6.48461 , 0.240693
320 , 1.595e-07 , 232.272 , 640.448 , 426.096 , 6.45437 , 0.239394
340 , 1.695e-07 , 232.276 , 640.461 , 426.093 , 6.42475 , 0.23812
360 , 1.79499e-07 , 232.28 , 640.47 , 426.089 , 6.39577 , 0.236873
380 , 1.89499e-07 , 232.283 , 640.476 , 426.086 , 6.36749 , 0.235655
400 , 1.99499e-07 , 232.286 , 640.479 , 426.083 , 6.34001 , 0.234467
420 , 2.09499e-07 , 232.288 , 640.477 , 426.08 , 6.31336 , 0.233312
440 , 2.19499e-07 , 232.289 , 640.472 , 426.076 , 6.2876 , 0.232192
460 , 2.29499e-07 , 232.29 , 640.463 , 426.073 , 6.26276 , 0.231105
480 , 2.39499e-07 , 232.29 , 640.449 , 426.07 , 6.2388 , 0.230052
500 , 2.49499e-07 , 232.29 , 640.433 , 426.066 , 6.21571 , 0.229032
520 , 2.59499e-07 , 232.289 , 640.412 , 426.063 , 6.19354 , 0.228048
540 , 2.69499e-07 , 232.287 , 640.387 , 426.059 , 6.1725 , 0.227109
560 , 2.79498e-07 , 232.286 , 640.358 , 426.055 , 6.15273 , 0.226219
580 , 2.89498e-07 , 232.283 , 640.325 , 426.051 , 6.13409 , 0.225374
600 , 2.99498e-07 , 232.28 , 640.287 , 426.047 , 6.11642 , 0.224566
620 , 3.09498e-07 , 232.277 , 640.245 , 426.042 , 6.09992 , 0.223804
640 , 3.19498e-07 , 232.272 , 640.199 , 426.037 , 6.08464 , 0.223091
660 , 3.29498e-07 , 232.268 , 640.149 , 426.032 , 6.07059 , 0.222425
680 , 3.39498e-07 , 232.262 , 640.093 , 426.026 , 6.05778 , 0.221808
700 , 3.49498e-07 , 232.257 , 640.034 , 426.02 , 6.04626 , 0.221241
720 , 3.59498e-07 , 232.251 , 639.97 , 426.013 , 6.03609 , 0.220728
740 , 3.69497e-07 , 232.244 , 639.9 , 426.005 , 6.02724 , 0.220266
760 , 3.79497e-07 , 232.236 , 639.827 , 425.998 , 6.01972 , 0.219857
780 , 3.89497e-07 , 232.229 , 639.749 , 425.989 , 6.0135 , 0.219499
800 , 3.99497e-07 , 232.22 , 639.667 , 425.981 , 6.00861 , 0.219193
820 , 4.09497e-07 , 232.212 , 639.581 , 425.971 , 6.00506 , 0.218939
840 , 4.19497e-07 , 232.203 , 639.491 , 425.961 , 6.00281 , 0.218737
860 , 4.29497e-07 , 232.193 , 639.398 , 425.951 , 6.00184 , 0.218585
880 , 4.39497e-07 , 232.184 , 639.3 , 425.939 , 6.00209 , 0.21848
900 , 4.49497e-07 , 232.173 , 639.198 , 425.928 , 6.00356 , 0.218425
920 , 4.59497e-07 , 232.163 , 639.094 , 425.915 , 6.00622 , 0.218415
940 , 4.69496e-07 , 232.153 , 638.987 , 425.903 , 6.01003 , 0.218451
960 , 4.79496e-07 , 232.142 , 638.877 , 425.889 , 6.01489 , 0.218528
980 , 4.89496e-07 , 232.131 , 638.764 , 425.876 , 6.02078 , 0.218646
1000 , 4.99496e-07 , 232.12 , 638.649 , 425.862 , 6.0276 , 0.2188
1020 , 5.09496e-07 , 232.108 , 638.532 , 425.847 , 6.03525 , 0.218988
1040 , 5.19496e-07 , 232.097 , 638.414 , 425.833 , 6.04374 , 0.219208
1060 , 5.29496e-07 , 232.086 , 638.295 , 425.818 , 6.05295 , 0.219456
1080 , 5.39496e-07 , 232.074 , 638.174 , 425.802 , 6.06281 , 0.219731
1100 , 5.49496e-07 , 232.063 , 638.054 , 425.787 , 6.07321 , 0.220026
1120 , 5.59496e-07 , 232.052 , 637.934 , 425.772 , 6.08401 , 0.220338
1140 , 5.69495e-07 , 232.041 , 637.814 , 425.757 , 6.09515 , 0.220663
1160 , 5.79495e-07 , 232.031 , 637.697 , 425.742 , 6.10648 , 0.220995
1180 , 5.89495e-07 , 232.021 , 637.581 , 425.727 , 6.11797 , 0.221334
1200 , 5.99495e-07 , 232.011 , 637.466 , 425.711 , 6.12958 , 0.221677
1220 , 6.09495e-07 , 232.002 , 637.355 , 425.696 , 6.14116 , 0.22202
1240 , 6.19495e-07 , 231.993 , 637.245 , 425.681 , 6.15265 , 0.22236
1260 , 6.29495e-07 , 231.984 , 637.138 , 425.667 , 6.16404 , 0.222695
1280 , 6.39495e-07 , 231.976 , 637.035 , 425.652 , 6.17516 , 0.22302
1300 , 6.49495e-07 , 231.968 , 636.935 , 425.639 , 6.18594 , 0.223332
1320 , 6.59494e-07 , 231.961 , 636.838 , 425.626 , 6.1963 , 0.223628
1340 , 6.69494e-07 , 231.954 , 636.747 , 425.614 , 6.20623 , 0.223906
1360 , 6.79494e-07 , 231.948 , 636.66 , 425.602 , 6.21559 , 0.224163
1380 , 6.89494e-07 , 231.943 , 636.578 , 425.591 , 6.22433 , 0.224395
1400 , 6.99494e-07 , 231.938 , 636.501 , 425.581 , 6.23241 , 0.224602
1420 , 7.09494e-07 , 231.934 , 636.43 , 425.572 , 6.23978 , 0.22478
1440 , 7.19494e-07 , 231.93 , 636.365 , 425.564 , 6.24637 , 0.224928
1460 , 7.29494e-07 , 231.928 , 636.306 , 425.557 , 6.25214 , 0.225044
1480 , 7.39494e-07 , 231.926 , 636.254 , 425.551 , 6.25709 , 0.225129
1500 , 7.49493e-07 , 231.925 , 636.208 , 425.546 , 6.26119 , 0.225179
1520 , 7.59493e-07 , 231.924 , 636.168 , 425.543 , 6.26443 , 0.225196
1540 , 7.69493e-07 , 231.925 , 636.137 , 425.54 , 6.26679 , 0.225179
1560 , 7.79493e-07 , 231.927 , 636.113 , 425.539 , 6.26832 , 0.225129
1580 , 7.89493e-07 , 231.93 , 636.095 , 425.54 , 6.26907 , 0.225048
1600 , 7.99493e-07 , 231.933 , 636.084 , 425.542 , 6.26922 , 0.224945
1620 , 8.09493e-07 , 231.937 , 636.08 , 425.544 , 6.26876 , 0.224817
1640 , 8.19493e-07 , 231.941 , 636.08 , 425.548 , 6.26744 , 0.224655
1660 , 8.29493e-07 , 231.946 , 636.087 , 425.553 , 6.26521 , 0.224458
1680 , 8.39493e-07 , 231.951 , 636.099 , 425.558 , 6.26205 , 0.224224
1700 , 8.49492e-07 , 231.956 , 636.117 , 425.565 , 6.2578 , 0.223948
1720 , 8.59492e-07 , 231.962 , 636.142 , 425.573 , 6.2525 , 0.22363
1740 , 8.69492e-07 , 231.969 , 636.173 , 425.582 , 6.24621 , 0.223273
1760 , 8.79492e-07 , 231.976 , 636.211 , 425.592 , 6.23893 , 0.222877
1780 , 8.89492e-07 , 231.984 , 636.256 , 425.604 , 6.23091 , 0.222452
1800 , 8.99492e-07 , 231.993 , 636.307 , 425.617 , 6.22215 , 0.221998
1820 , 9.09492e-07 , 232.002 , 636.365 , 425.632 , 6.21265 , 0.221515
1840 , 9.19492e-07 , 232.012 , 636.431 , 425.648 , 6.20238 , 0.221001
1860 , 9.29492e-07 , 232.022 , 636.503 , 425.666 , 6.19134 , 0.220457
1880 , 9.39491e-07 , 232.034 , 636.582 , 425.685 , 6.17956 , 0.219885
1900 , 9.49491e-07 , 232.045 , 636.667 , 425.705 , 6.167 , 0.219283
1920 , 9.59491e-07 , 232.057 , 636.759 , 425.727 , 6.15371 , 0.218653
1940 , 9.69491e-07 , 232.07 , 636.857 , 425.751 , 6.1397 , 0.217997
1960 , 9.79491e-07 , 232.083 , 636.961 , 425.775 , 6.12499 , 0.217312
1980 , 9.89491e-07 , 232.097 , 637.072 , 425.801 , 6.10959 , 0.216601
2000 , 9.99491e-07 , 232.111 , 637.187 , 425.829 , 6.09358 , 0.215866
2020 , 1.00949e-06 , 232.126 , 637.309 , 425.857 , 6.07694 , 0.215106
2040 , 1.01949e-06 , 232.141 , 637.436 , 425.887 , 6.05972 , 0.214323
2060 , 1.02949e-06 , 232.156 , 637.568 , 425.919 , 6.04196 , 0.213519
2080 , 1.03949e-06 , 232.172 , 637.705 , 425.951 , 6.02369 , 0.212695
2100 , 1.04949e-06 , 232.188 , 637.847 , 425.984 , 6.00494 , 0.211852
2120 , 1.05949e-06 , 232.205 , 637.993 , 426.019 , 5.98573 , 0.210991
2140 , 1.06949e-06 , 232.221 , 638.143 , 426.056 , 5.96612 , 0.210115
2160 , 1.07949e-06 , 232.238 , 638.297 , 426.093 , 5.94619 , 0.209225
