x_mm,y_mm
-58.66025404,30.00000000
-57.79068882,30.00000000
-56.92112360,30.00000000
-56.05155839,30.00000000
-55.18199317,30.00000000
-54.31242795,30.00000000
-53.44286273,30.00000000
-52.57329752,30.00000000
-51.70373230,30.00000000
-50.83416708,30.00000000
-49.96460186,30.00000000
-49.09503665,30.00000000
-48.22547143,30.00000000
-47.35590621,30.00000000
-46.48634099,30.00000000
-45.61677578,30.00000000
-44.74721056,30.00000000
-43.87764534,30.00000000
-43.00808012,30.00000000
-42.13851491,30.00000000
-41.26894969,30.00000000
-40.39938447,30.00000000
-39.52981926,30.00000000
-38.66025404,30.00000000
-37.76996107,29.48598911
-36.87966809,28.97197823
-35.98937512,28.45796734
-35.09908215,27.94395645
-34.20878918,27.42994556
-33.31849620,26.91593468
-32.42820323,26.40192379
-31.53791026,25.88791290
-30.64761729,25.37390201
-29.75732431,24.85989113
-28.86703134,24.34588024
-27.97673837,23.83186935
-27.08644540,23.31785846
-26.19615242,22.80384758
-25.30585945,22.28983669
-24.41556648,21.77582580
-23.52527351,21.26181492
-22.63498053,20.74780403
-21.74468756,20.23379314
-20.85439459,19.71978225
-19.96410162,19.20577137
-19.07380864,18.69176048
-18.18351567,18.17774959
-17.29322270,17.66373870
-16.40292973,17.14972782
-15.51263675,16.63571693
-14.62234378,16.12170604
-13.73205081,15.60769515
-12.84175784,15.09368427
-11.95146486,14.57967338
-11.06117189,14.06566249
-10.17087892,13.55165161
-9.28058595,13.03764072
-8.39029297,12.52362983
-7.50000000,12.00961894
-7.32492554,11.91010062
-7.14853080,11.81294167
-6.97084758,11.71815962
-6.79190791,11.62577154
-6.61174403,11.53579409
-6.43038842,11.44824348
-6.24787377,11.36313550
-6.06423298,11.28048549
-5.87949915,11.20030835
-5.69370557,11.12261851
-5.50688573,11.04743000
-5.31907331,10.97475636
-5.13030215,10.90461069
-4.94060629,10.83700563
-4.75001991,10.77195337
-4.55857736,10.70946564
-4.36631316,10.64955369
-4.17326196,10.59222833
-3.97945855,10.53749988
-3.78493786,10.48537822
-3.58973496,10.43587274
-3.39388504,10.38899236
-3.19742338,10.34474552
-3.00038541,10.30314022
-2.80280663,10.26418394
-2.60472267,10.22788370
-2.40616921,10.19424606
-2.20718206,10.16327707
-2.00779708,10.13498231
-1.80805020,10.10936689
-1.60797744,10.08643542
-1.40761484,10.06619203
-1.20699853,10.04864038
-1.00616467,10.03378362
-0.80514945,10.02162444
-0.60398910,10.01216503
-0.40271989,10.00540708
-0.20137809,10.00135183
0.00000000,10.00000000
