x_mm,y_mm
0.00000000,10.00000000
0.04526670,10.00026821
0.09052704,10.00107281
0.13577467,10.00241369
0.18100323,10.00429065
0.22620638,10.00670344
0.27137776,10.00965171
0.31651103,10.01313505
0.36159985,10.01715297
0.40663790,10.02170491
0.45161885,10.02679022
0.49653637,10.03240820
0.54138417,10.03855806
0.58615595,10.04523892
0.63084541,10.05244986
0.67544629,10.06018986
0.71995232,10.06845783
0.76435725,10.07725261
0.80865484,10.08657298
0.85283888,10.09641761
0.89690315,10.10678512
0.94084148,10.11767407
0.98464769,10.12908292
1.02831563,10.14101006
1.07183917,10.15345383
1.11521220,10.16641248
1.15842862,10.17988419
1.20148237,10.19386706
1.24436740,10.20835913
1.28707768,10.22335837
1.32960723,10.23886267
1.37195007,10.25486985
1.41410025,10.27137767
1.45605186,10.28838380
1.49779900,10.30588586
1.53933581,10.32388140
1.58065646,10.34236788
1.62175514,10.36134271
1.66262609,10.38080322
1.70326356,10.40074668
2.15642575,10.62593416
2.60992151,10.85018718
3.06375082,11.07350576
3.51791369,11.29588989
3.97241012,11.51733956
4.42724012,11.73785479
4.88240367,11.95743557
5.33790078,12.17608190
5.79373145,12.39379378
6.24989569,12.61057121
6.70639348,12.82641419
7.16322483,13.04132272
7.62038974,13.25529681
8.07788822,13.46833644
8.53572025,13.68044162
8.99388584,13.89161236
9.45238499,14.10184864
9.91121770,14.31115048
10.37038398,14.51951787
10.82988381,14.72695080
11.28971720,14.93344929
11.74988415,15.13901333
12.21038466,15.34364292
12.67121873,15.54733806
13.13238637,15.75009875
13.59388756,15.95192499
14.05572231,16.15281679
14.51789062,16.35277413
14.98039249,16.55179702
15.44322792,16.74988547
15.90639692,16.94703946
16.36989947,17.14325901
16.83373558,17.33854410
17.29790525,17.53289475
17.76240848,17.72631095
18.22724527,17.91879269
18.69241562,18.11033999
19.15791953,18.30095284
19.62375700,18.49063124
20.08992804,18.67937519
20.55643263,18.86718469
21.02327078,19.05405975
21.49044249,19.24000035
21.95794776,19.42500650
22.42578659,19.60907821
22.89395898,19.79221546
23.36246493,19.97441827
23.83130444,20.15568662
24.30047751,20.33602053
24.76998414,20.51541999
25.23982433,20.69388500
25.70999808,20.87141556
26.18050539,21.04801166
26.65134626,21.22367332
27.12252069,21.39840054
27.59402868,21.57219330
28.06587023,21.74505161
28.53804534,21.91697547
29.01055401,22.08796489
29.48339624,22.25801985
29.95657203,22.42714036
30.43008138,22.59532643
30.90392429,22.76257805
31.37810076,22.92889521
31.85261079,23.09427793
32.32745438,23.25872620
32.80263153,23.42224002
33.27814224,23.58481939
33.75398651,23.74646431
34.23016434,23.90717478
34.70667573,24.06695080
35.18352068,24.22579237
35.66069919,24.38369950
36.13821126,24.54067217
36.61605688,24.69671039
37.09423607,24.85181417
37.57274882,25.00598349
38.05159513,25.15921837
38.53077500,25.31151880
39.01028843,25.46288477
39.49013542,25.61331630
39.97031597,25.76281338
40.45083008,25.91137601
40.93167774,26.05900419
41.41285897,26.20569792
41.89437376,26.35145720
42.37622211,26.49628204
42.85840402,26.64017242
43.34091949,26.78312835
43.82376852,26.92514984
44.30695110,27.06623687
44.79046725,27.20638946
45.27431696,27.34560759
45.75850023,27.48389128
46.24301706,27.62124052
46.72786744,27.75765531
47.21305139,27.89313564
47.69856890,28.02768153
48.18441997,28.16129297
48.67060460,28.29396997
49.15712278,28.42571251
49.64397453,28.55652060
50.13115984,28.68639424
50.61867871,28.81533344
51.10653113,28.94333818
51.59471712,29.07040848
52.08323667,29.19654432
52.57208978,29.32174572
53.06127644,29.44601266
53.55079667,29.56934516
54.04065046,29.69174321
54.53083781,29.81320681
55.02135871,29.93373596
55.51221318,30.05333066
56.00340121,30.17199091
56.49492280,30.28971671
56.98677794,30.40650806
57.47896665,30.52236497
57.97148892,30.63728742
58.46434474,30.75127543
58.95753413,30.86432898
59.45105708,30.97644809
59.94491358,31.08763274
60.43910365,31.19788295
60.93362728,31.30719871
61.42848446,31.41558002
61.92367521,31.52302687
62.41919952,31.62953928
62.91505738,31.73511724
63.41124881,31.83976076
63.90777379,31.94346982
64.40463234,32.04624443
64.90182445,32.14808459
65.39935011,32.24899031
65.89720934,32.34896157
66.39540213,32.44799839
66.89392847,32.54610075
67.39278838,32.64326867
67.89198184,32.73950213
