x_mm,y_mm,zone
-58.66025404,30.00000000,convergent
-57.79068882,30.00000000,convergent
-56.92112360,30.00000000,convergent
-56.05155839,30.00000000,convergent
-55.18199317,30.00000000,convergent
-54.31242795,30.00000000,convergent
-53.44286273,30.00000000,convergent
-52.57329752,30.00000000,convergent
-51.70373230,30.00000000,convergent
-50.83416708,30.00000000,convergent
-49.96460186,30.00000000,convergent
-49.09503665,30.00000000,convergent
-48.22547143,30.00000000,convergent
-47.35590621,30.00000000,convergent
-46.48634099,30.00000000,convergent
-45.61677578,30.00000000,convergent
-44.74721056,30.00000000,convergent
-43.87764534,30.00000000,convergent
-43.00808012,30.00000000,convergent
-42.13851491,30.00000000,convergent
-41.26894969,30.00000000,convergent
-40.39938447,30.00000000,convergent
-39.52981926,30.00000000,convergent
-38.66025404,30.00000000,convergent
-37.76996107,29.48598911,convergent
-36.87966809,28.97197823,convergent
-35.98937512,28.45796734,convergent
-35.09908215,27.94395645,convergent
-34.20878918,27.42994556,convergent
-33.31849620,26.91593468,convergent
-32.42820323,26.40192379,convergent
-31.53791026,25.88791290,convergent
-30.64761729,25.37390201,convergent
-29.75732431,24.85989113,convergent
-28.86703134,24.34588024,convergent
-27.97673837,23.83186935,convergent
-27.08644540,23.31785846,convergent
-26.19615242,22.80384758,convergent
-25.30585945,22.28983669,convergent
-24.41556648,21.77582580,convergent
-23.52527351,21.26181492,convergent
-22.63498053,20.74780403,convergent
-21.74468756,20.23379314,convergent
-20.85439459,19.71978225,convergent
-19.96410162,19.20577137,convergent
-19.07380864,18.69176048,convergent
-18.18351567,18.17774959,convergent
-17.29322270,17.66373870,convergent
-16.40292973,17.14972782,convergent
-15.51263675,16.63571693,convergent
-14.62234378,16.12170604,convergent
-13.73205081,15.60769515,convergent
-12.84175784,15.09368427,convergent
-11.95146486,14.57967338,convergent
-11.06117189,14.06566249,convergent
-10.17087892,13.55165161,convergent
-9.28058595,13.03764072,convergent
-8.39029297,12.52362983,convergent
-7.50000000,12.00961894,convergent
-7.32492554,11.91010062,convergent
-7.14853080,11.81294167,convergent
-6.97084758,11.71815962,convergent
-6.79190791,11.62577154,convergent
-6.61174403,11.53579409,convergent
-6.43038842,11.44824348,convergent
-6.24787377,11.36313550,convergent
-6.06423298,11.28048549,convergent
-5.87949915,11.20030835,convergent
-5.69370557,11.12261851,convergent
-5.50688573,11.04743000,convergent
-5.31907331,10.97475636,convergent
-5.13030215,10.90461069,convergent
-4.94060629,10.83700563,convergent
-4.75001991,10.77195337,convergent
-4.55857736,10.70946564,convergent
-4.36631316,10.64955369,convergent
-4.17326196,10.59222833,convergent
-3.97945855,10.53749988,convergent
-3.78493786,10.48537822,convergent
-3.58973496,10.43587274,convergent
-3.39388504,10.38899236,convergent
-3.19742338,10.34474552,convergent
-3.00038541,10.30314022,convergent
-2.80280663,10.26418394,convergent
-2.60472267,10.22788370,convergent
-2.40616921,10.19424606,convergent
-2.20718206,10.16327707,convergent
-2.00779708,10.13498231,convergent
-1.80805020,10.10936689,convergent
-1.60797744,10.08643542,convergent
-1.40761484,10.06619203,convergent
-1.20699853,10.04864038,convergent
-1.00616467,10.03378362,convergent
-0.80514945,10.02162444,convergent
-0.60398910,10.01216503,convergent
-0.40271989,10.00540708,convergent
-0.20137809,10.00135183,convergent
0.00000000,10.00000000,convergent
0.00000000,10.00000000,divergent
0.04526670,10.00026821,divergent
0.09052704,10.00107281,divergent
0.13577467,10.00241369,divergent
0.18100323,10.00429065,divergent
0.22620638,10.00670344,divergent
0.27137776,10.00965171,divergent
0.31651103,10.01313505,divergent
0.36159985,10.01715297,divergent
0.40663790,10.02170491,divergent
0.45161885,10.02679022,divergent
0.49653637,10.03240820,divergent
0.54138417,10.03855806,divergent
0.58615595,10.04523892,divergent
0.63084541,10.05244986,divergent
0.67544629,10.06018986,divergent
0.71995232,10.06845783,divergent
0.76435725,10.07725261,divergent
0.80865484,10.08657298,divergent
0.85283888,10.09641761,divergent
0.89690315,10.10678512,divergent
0.94084148,10.11767407,divergent
0.98464769,10.12908292,divergent
1.02831563,10.14101006,divergent
1.07183917,10.15345383,divergent
1.11521220,10.16641248,divergent
1.15842862,10.17988419,divergent
1.20148237,10.19386706,divergent
1.24436740,10.20835913,divergent
1.28707768,10.22335837,divergent
1.32960723,10.23886267,divergent
1.37195007,10.25486985,divergent
1.41410025,10.27137767,divergent
1.45605186,10.28838380,divergent
1.49779900,10.30588586,divergent
1.53933581,10.32388140,divergent
1.58065646,10.34236788,divergent
1.62175514,10.36134271,divergent
1.66262609,10.38080322,divergent
1.70326356,10.40074668,divergent
2.15642575,10.62593416,divergent
2.60992151,10.85018718,divergent
3.06375082,11.07350576,divergent
3.51791369,11.29588989,divergent
3.97241012,11.51733956,divergent
4.42724012,11.73785479,divergent
4.88240367,11.95743557,divergent
5.33790078,12.17608190,divergent
5.79373145,12.39379378,divergent
6.24989569,12.61057121,divergent
6.70639348,12.82641419,divergent
7.16322483,13.04132272,divergent
7.62038974,13.25529681,divergent
8.07788822,13.46833644,divergent
8.53572025,13.68044162,divergent
8.99388584,13.89161236,divergent
9.45238499,14.10184864,divergent
9.91121770,14.31115048,divergent
10.37038398,14.51951787,divergent
10.82988381,14.72695080,divergent
11.28971720,14.93344929,divergent
11.74988415,15.13901333,divergent
12.21038466,15.34364292,divergent
12.67121873,15.54733806,divergent
13.13238637,15.75009875,divergent
13.59388756,15.95192499,divergent
14.05572231,16.15281679,divergent
14.51789062,16.35277413,divergent
14.98039249,16.55179702,divergent
15.44322792,16.74988547,divergent
15.90639692,16.94703946,divergent
16.36989947,17.14325901,divergent
16.83373558,17.33854410,divergent
17.29790525,17.53289475,divergent
17.76240848,17.72631095,divergent
18.22724527,17.91879269,divergent
18.69241562,18.11033999,divergent
19.15791953,18.30095284,divergent
19.62375700,18.49063124,divergent
20.08992804,18.67937519,divergent
20.55643263,18.86718469,divergent
21.02327078,19.05405975,divergent
21.49044249,19.24000035,divergent
21.95794776,19.42500650,divergent
22.42578659,19.60907821,divergent
22.89395898,19.79221546,divergent
23.36246493,19.97441827,divergent
23.83130444,20.15568662,divergent
24.30047751,20.33602053,divergent
24.76998414,20.51541999,divergent
25.23982433,20.69388500,divergent
25.70999808,20.87141556,divergent
26.18050539,21.04801166,divergent
26.65134626,21.22367332,divergent
27.12252069,21.39840054,divergent
27.59402868,21.57219330,divergent
28.06587023,21.74505161,divergent
28.53804534,21.91697547,divergent
29.01055401,22.08796489,divergent
29.48339624,22.25801985,divergent
29.95657203,22.42714036,divergent
30.43008138,22.59532643,divergent
30.90392429,22.76257805,divergent
31.37810076,22.92889521,divergent
