x_mm,y_mm,zone
-58.660254,30.000000,chamber
-38.660254,30.000000,chamber
-38.660254,30.000000,conv_cone
-7.500000,12.009619,conv_cone
-7.500000,12.009619,throat_up
-7.384422,11.943572,throat_up
-7.268263,11.878554,throat_up
-7.151531,11.814569,throat_up
-7.034236,11.751622,throat_up
-6.916388,11.689719,throat_up
-6.797994,11.628864,throat_up
-6.679065,11.569062,throat_up
-6.559610,11.510318,throat_up
-6.439638,11.452636,throat_up
-6.319159,11.396022,throat_up
-6.198183,11.340478,throat_up
-6.076718,11.286011,throat_up
-5.954775,11.232623,throat_up
-5.832363,11.180320,throat_up
-5.709491,11.129106,throat_up
-5.586170,11.078983,throat_up
-5.462409,11.029957,throat_up
-5.338217,10.982032,throat_up
-5.213605,10.935210,throat_up
-5.088583,10.889496,throat_up
-4.963160,10.844893,throat_up
-4.837346,10.801405,throat_up
-4.711151,10.759036,throat_up
-4.584585,10.717788,throat_up
-4.457657,10.677665,throat_up
-4.330379,10.638669,throat_up
-4.202760,10.600805,throat_up
-4.074810,10.564075,throat_up
-3.946538,10.528482,throat_up
-3.817956,10.494029,throat_up
-3.689074,10.460718,throat_up
-3.559900,10.428552,throat_up
-3.430447,10.397533,throat_up
-3.300723,10.367665,throat_up
-3.170739,10.338949,throat_up
-3.040506,10.311388,throat_up
-2.910033,10.284984,throat_up
-2.779331,10.259738,throat_up
-2.648410,10.235654,throat_up
-2.517280,10.212732,throat_up
-2.385952,10.190975,throat_up
-2.254437,10.170384,throat_up
-2.122743,10.150961,throat_up
-1.990883,10.132708,throat_up
-1.858866,10.115625,throat_up
-1.726702,10.099715,throat_up
-1.594402,10.084978,throat_up
-1.461977,10.071416,throat_up
-1.329437,10.059030,throat_up
-1.196792,10.047820,throat_up
-1.064052,10.037788,throat_up
-0.931229,10.028934,throat_up
-0.798333,10.021260,throat_up
-0.665373,10.014765,throat_up
-0.532362,10.009450,throat_up
-0.399308,10.005316,throat_up
-0.266223,10.002363,throat_up
-0.133117,10.000591,throat_up
0.000000,10.000000,throat_up
0.000000,10.000000,throat_dn
0.038614,10.000195,throat_dn
0.077223,10.000781,throat_dn
0.115825,10.001756,throat_dn
0.154415,10.003122,throat_dn
0.192990,10.004878,throat_dn
0.231544,10.007024,throat_dn
0.270075,10.009559,throat_dn
0.308578,10.012484,throat_dn
0.347050,10.015798,throat_dn
0.385486,10.019500,throat_dn
0.423883,10.023591,throat_dn
0.462237,10.028069,throat_dn
0.500543,10.032936,throat_dn
0.538798,10.038189,throat_dn
0.576998,10.043828,throat_dn
0.615140,10.049854,throat_dn
0.653218,10.056264,throat_dn
0.691230,10.063060,throat_dn
0.729170,10.070239,throat_dn
0.767037,10.077801,throat_dn
0.804825,10.085745,throat_dn
0.842531,10.094072,throat_dn
0.880151,10.102779,throat_dn
0.917680,10.111865,throat_dn
0.955116,10.121331,throat_dn
0.992455,10.131175,throat_dn
1.029692,10.141395,throat_dn
1.066824,10.151991,throat_dn
1.103847,10.162963,throat_dn
1.140757,10.174307,throat_dn
1.177550,10.186025,throat_dn
1.214223,10.198113,throat_dn
1.250772,10.210572,throat_dn
1.287194,10.223400,throat_dn
1.323483,10.236595,throat_dn
1.359638,10.250156,throat_dn
1.395653,10.264082,throat_dn
1.431526,10.278371,throat_dn
1.467253,10.293023,throat_dn
1.502830,10.308034,throat_dn
1.538253,10.323405,throat_dn
1.573519,10.339133,throat_dn
1.608624,10.355216,throat_dn
1.643565,10.371653,throat_dn
1.678338,10.388443,throat_dn
1.712940,10.405584,throat_dn
1.747366,10.423073,throat_dn
1.781614,10.440910,throat_dn
1.815680,10.459091,throat_dn
1.849560,10.477616,throat_dn
