x_mm,y_mm,zone
-58.660254,30.000000,chamber
-38.660254,30.000000,chamber
-38.660254,30.000000,conv_cone
-7.500000,12.009619,conv_cone
-7.500000,12.009619,throat_up
-7.384422,11.943572,throat_up
-7.268263,11.878554,throat_up
-7.151531,11.814569,throat_up
-7.034236,11.751622,throat_up
-6.916388,11.689719,throat_up
-6.797994,11.628864,throat_up
-6.679065,11.569062,throat_up
-6.559610,11.510318,throat_up
-6.439638,11.452636,throat_up
-6.319159,11.396022,throat_up
-6.198183,11.340478,throat_up
-6.076718,11.286011,throat_up
-5.954775,11.232623,throat_up
-5.832363,11.180320,throat_up
-5.709491,11.129106,throat_up
-5.586170,11.078983,throat_up
-5.462409,11.029957,throat_up
-5.338217,10.982032,throat_up
-5.213605,10.935210,throat_up
-5.088583,10.889496,throat_up
-4.963160,10.844893,throat_up
-4.837346,10.801405,throat_up
-4.711151,10.759036,throat_up
-4.584585,10.717788,throat_up
-4.457657,10.677665,throat_up
-4.330379,10.638669,throat_up
-4.202760,10.600805,throat_up
-4.074810,10.564075,throat_up
-3.946538,10.528482,throat_up
-3.817956,10.494029,throat_up
-3.689074,10.460718,throat_up
-3.559900,10.428552,throat_up
-3.430447,10.397533,throat_up
-3.300723,10.367665,throat_up
-3.170739,10.338949,throat_up
-3.040506,10.311388,throat_up
-2.910033,10.284984,throat_up
-2.779331,10.259738,throat_up
-2.648410,10.235654,throat_up
-2.517280,10.212732,throat_up
-2.385952,10.190975,throat_up
-2.254437,10.170384,throat_up
-2.122743,10.150961,throat_up
-1.990883,10.132708,throat_up
-1.858866,10.115625,throat_up
-1.726702,10.099715,throat_up
-1.594402,10.084978,throat_up
-1.461977,10.071416,throat_up
-1.329437,10.059030,throat_up
-1.196792,10.047820,throat_up
-1.064052,10.037788,throat_up
-0.931229,10.028934,throat_up
-0.798333,10.021260,throat_up
-0.665373,10.014765,throat_up
-0.532362,10.009450,throat_up
-0.399308,10.005316,throat_up
-0.266223,10.002363,throat_up
-0.133117,10.000591,throat_up
0.000000,10.000000,throat_up
0.000000,10.000000,throat_dn
0.016950,10.000038,throat_dn
0.033900,10.000150,throat_dn
0.050850,10.000338,throat_dn
0.067798,10.000602,throat_dn
0.084745,10.000940,throat_dn
0.101690,10.001354,throat_dn
0.118634,10.001843,throat_dn
0.135575,10.002407,throat_dn
0.152513,10.003046,throat_dn
0.169448,10.003760,throat_dn
0.186380,10.004550,throat_dn
0.203309,10.005414,throat_dn
0.220233,10.006354,throat_dn
0.237153,10.007369,throat_dn
0.254068,10.008458,throat_dn
0.270979,10.009623,throat_dn
0.287884,10.010863,throat_dn
0.304783,10.012178,throat_dn
0.321676,10.013568,throat_dn
0.338563,10.015033,throat_dn
0.355444,10.016573,throat_dn
0.372317,10.018187,throat_dn
0.389183,10.019877,throat_dn
0.406041,10.021641,throat_dn
0.422891,10.023480,throat_dn
0.439733,10.025394,throat_dn
0.456567,10.027383,throat_dn
0.473391,10.029446,throat_dn
0.490206,10.031584,throat_dn
0.507012,10.033796,throat_dn
0.523807,10.036083,throat_dn
0.540592,10.038445,throat_dn
0.557366,10.040881,throat_dn
0.574130,10.043391,throat_dn
0.590882,10.045976,throat_dn
0.607623,10.048635,throat_dn
0.624351,10.051368,throat_dn
0.641067,10.054176,throat_dn
0.657771,10.057057,throat_dn
0.674462,10.060013,throat_dn
0.691139,10.063043,throat_dn
0.707803,10.066147,throat_dn
0.724453,10.069324,throat_dn
0.741088,10.072576,throat_dn
0.757709,10.075901,throat_dn
0.774316,10.079300,throat_dn
0.790906,10.082773,throat_dn
0.807482,10.086319,throat_dn
0.824041,10.089939,throat_dn
0.840584,10.093632,throat_dn
0.857111,10.097399,throat_dn
0.873620,10.101238,throat_dn
0.890113,10.105152,throat_dn
0.906588,10.109138,throat_dn
0.923045,10.113197,throat_dn
0.939484,10.117329,throat_dn
0.955905,10.121535,throat_dn
0.972306,10.125813,throat_dn
0.988689,10.130163,throat_dn
0.988689,10.130163,cone
85.367890,32.739502,cone
