key,law,L_c,n_axis,xi_P,eta_P,ell_P,ell_P_over_R,hard_gate,theta_max_deg,min_mu_minus_theta_deg,flip_interior,topo_margin,downstream_max_dkds,downstream_J_dkds2,max_Mppp,J_axis
D@Lc60@1200,D,60.0,1200,0.04,0.2625,2.4,0.7999999999999999,True,22.507,-0.621,0,0.0299,0.7659,0.1358,0.1562,0.01140
A@Lc60@1200,A,60.0,1200,,,,,True,11.193,3.448,0,0.0615,1.3520,0.4297,0.2879,0.05952
D@Lc60@2400,D,60.0,2400,0.04,0.2625,2.4,0.7999999999999999,True,22.510,-0.624,0,0.0301,0.4273,0.0910,0.1562,0.01140
A@Lc60@2400,A,60.0,2400,,,,,True,11.194,3.448,0,0.0618,0.8013,0.1945,0.2879,0.05952
D@Lc50@1200,D,50.0,1200,0.05,0.2625,2.5,0.8333333333333334,True,18.076,5.481,0,0.0255,0.4511,0.0705,0.1865,0.01676
A@Lc50@1200,A,50.0,1200,,,,,True,12.952,2.407,0,0.0503,1.5758,0.3385,0.2950,0.05958
D@Lc50@2400,D,50.0,2400,0.05,0.2625,2.5,0.8333333333333334,True,18.080,5.482,0,0.0259,0.5830,0.0734,0.1865,0.01676
A@Lc50@2400,A,50.0,2400,,,,,True,12.953,2.407,0,0.0509,1.0390,0.1880,0.2950,0.05958
D@Lc45@1200,D,45.0,1200,0.08,0.355,3.6,1.2,True,18.046,5.051,0,0.0199,1.1887,0.2080,0.1442,0.01413
A@Lc45@1200,A,45.0,1200,,,,,True,14.106,1.777,0,0.0428,1.3875,0.2701,0.2991,0.05931
D@Lc45@2400,D,45.0,2400,0.08,0.355,3.6,1.2,True,18.049,5.051,0,0.0199,0.6865,0.0998,0.1442,0.01413
A@Lc45@2400,A,45.0,2400,,,,,True,14.108,1.777,0,0.0412,1.2164,0.2210,0.2991,0.05931
D@Lc40@1200,D,40.0,1200,0.12,0.43,4.8,1.5999999999999999,True,17.932,4.523,0,0.0133,1.8072,0.2595,0.1229,0.01335
A@Lc40@1200,A,40.0,1200,,,,,True,15.585,1.053,0,0.0426,1.2312,0.1676,0.3035,0.05858
D@Lc40@2400,D,40.0,2400,0.12,0.43,4.8,1.5999999999999999,True,17.935,4.523,0,0.0131,0.5546,0.1126,0.1229,0.01335
A@Lc40@2400,A,40.0,2400,,,,,True,15.587,1.052,0,0.0332,1.0854,0.1777,0.3035,0.05858
D@Lc35@1200,D,35.0,1200,0.22,0.565,7.699999999999999,2.5666666666666664,True,19.880,2.625,0,0.0120,1.1754,0.3855,0.0871,0.01016
A@Lc35@1200,A,35.0,1200,,,,,True,17.473,0.183,0,0.0425,1.1823,0.2005,0.3078,0.05701
D@Lc35@2400,D,35.0,2400,0.22,0.565,7.699999999999999,2.5666666666666664,True,19.883,2.625,0,0.0093,1.0972,0.2698,0.0871,0.01016
A@Lc35@2400,A,35.0,2400,,,,,True,17.474,0.183,0,0.0268,1.1662,0.1979,0.3078,0.05701
D@Lc30@1200,D,30.0,1200,0.06,0.1875,1.7999999999999998,0.6,True,16.623,0.868,0,0.0228,0.5846,0.0620,0.3140,0.03400
A@Lc30@1200,A,30.0,1200,,,,,True,19.727,-0.899,0,0.0426,1.0156,0.1257,0.3107,0.05379
D@Lc30@2400,D,30.0,2400,0.06,0.1875,1.7999999999999998,0.6,True,16.618,0.868,0,0.0156,1.6461,0.2305,0.3140,0.03400
A@Lc30@2400,A,30.0,2400,,,,,True,19.730,-0.903,0,0.0231,1.3739,0.2154,0.3107,0.05379
