stage,L_c,M_K,n_axis,robust,hard_gate,single_peak,x_F,x_E,xF_minus_xE,theta_max_deg,min_mu_minus_theta_deg,min_sin_angle_interior,flip_interior,crossings
coarse,35.0,2.2,600,False,True,True,90.19081800264833,35.4246047142746,54.76621328837373,17.437693228643408,0.034280480494615,0.05281957745859501,0,0
coarse,35.0,2.3,600,False,True,True,90.19081801069946,35.4246047142746,54.76621329642486,17.406126799128064,0.08799449841434095,0.053222028360920846,0,0
coarse,35.0,2.4,600,False,True,True,90.19081801992532,35.4246047142746,54.766213305650716,17.41779093404196,0.14309711033752062,0.053563326079624746,0,0
coarse,35.0,2.5,600,False,True,True,90.19081803042174,35.4246047142746,54.76621331614714,17.46947569546983,0.18603358601096168,0.05394236456731211,0,0
coarse,35.0,2.6,600,False,True,True,90.1908180422967,35.4246047142746,54.7662133280221,17.55560959018499,0.20856596823356818,0.054361914542441526,0,0
coarse,35.0,2.7,600,False,True,True,90.19081805566391,35.4246047142746,54.76621334138931,17.670344532441696,0.20774570907726742,0.054825080465537204,0,0
coarse,35.0,2.8,600,False,True,True,90.19081807065336,35.4246047142746,54.76621335637876,17.80781356917621,0.18326916162094348,0.05533560930017281,0,0
coarse,35.0,2.9,600,False,True,True,90.19081808740712,35.4246047142746,54.76621337313252,17.9738728381139,0.13719008093601048,0.05583434444787077,0,0
coarse,35.0,3.0,600,False,True,True,90.19081810608226,35.4246047142746,54.76621339180766,18.15953191085447,0.07250628115841319,0.05644537868197776,0,0
coarse,35.0,3.1,600,False,True,True,90.19081812685285,35.4246047142746,54.766213412578246,18.357580350194652,-0.007418346405262508,0.057009215386038314,0,0
coarse,35.0,3.2,600,False,True,True,90.19081814991354,35.4246047142746,54.76621343563894,18.565966091395886,-0.09831812274157453,0.05777253626032265,0,0
coarse,35.5,2.2,600,False,True,True,90.5689713558168,35.9246047142746,54.6443666415422,17.25471619875528,0.12176435043869155,0.05334375960327344,0,0
coarse,35.5,2.3,600,False,True,True,90.5689713905325,35.9246047142746,54.644366676257896,17.212282720665932,0.18252721999620022,0.05372550533891479,0,0
coarse,35.5,2.4,600,False,True,True,90.56897142966614,35.9246047142746,54.644366715391534,17.214280506084425,0.2368498052934151,0.05412419718646774,0,0
coarse,35.5,2.5,600,False,True,True,90.5689714735709,35.9246047142746,54.6443667592963,17.2592088139066,0.2830691609330544,0.05453898730952999,0,0
coarse,35.5,2.6,600,False,True,True,90.56897152263714,35.9246047142746,54.64436680836254,17.343292534661483,0.31111884555874364,0.05490896200405698,0,0
coarse,35.5,2.7,600,False,True,True,90.56897157729252,35.9246047142746,54.644366863017915,17.460665525566675,0.3148423029644945,0.055389580610764794,0,0
coarse,35.5,2.8,600,False,True,True,90.56897163800649,35.9246047142746,54.64436692373189,17.604643422139702,0.29262010997058663,0.05590816355234606,0,0
coarse,35.5,2.9,600,False,True,True,90.56897170530002,35.9246047142746,54.644366991025414,17.77045605123391,0.24874023937771075,0.056495226166335955,0,0
coarse,35.5,3.0,600,False,True,True,90.56897177974669,35.9246047142746,54.64436706547209,17.953501244492674,0.1862806887895273,0.05700735303215573,0,0
coarse,35.5,3.1,600,False,True,True,90.56897186198466,35.9246047142746,54.644367147710064,18.150797955521433,0.10397072521971454,0.05771019305350144,0,0
coarse,35.5,3.2,600,False,True,True,90.56897195272138,35.9246047142746,54.64436723844678,18.37035395824103,0.006229951828683297,0.05834861794808066,0,0
