x_m,r_m,x_over_rt,r_over_rt
# M5 isobutane nozzle [euler] inviscid design wall (AxisMachCFDWall)
# R=3, L_U=9, L_c=14 (r_t units), M_d=5; r_t=0.080505 m
# throat x=0.000000 m r=0.080505 m; exit x=3.600812 m r=0.499520 m
-7.647974999999999079e-01,5.000004539999999276e-01,-9.500000000000000000e+00,6.210799999999999876e+00
-7.634094827586206389e-01,5.000004539999999276e-01,-9.482758620689654805e+00,6.210799999999999876e+00
-7.620214655172412588e-01,5.000004539999999276e-01,-9.465517241379309610e+00,6.210799999999999876e+00
-7.606334482758621007e-01,5.000004539999999276e-01,-9.448275862068966191e+00,6.210799999999999876e+00
-7.592454310344827206e-01,5.000004539999999276e-01,-9.431034482758620996e+00,6.210799999999999876e+00
-7.578574137931033405e-01,5.000004539999999276e-01,-9.413793103448275801e+00,6.210799999999999876e+00
-7.564693965517240715e-01,5.000004539999999276e-01,-9.396551724137930606e+00,6.210799999999999876e+00
-7.550813793103446914e-01,5.000004539999999276e-01,-9.379310344827585411e+00,6.210799999999999876e+00
-7.536933620689655333e-01,5.000004539999999276e-01,-9.362068965517241992e+00,6.210799999999999876e+00
-7.523053448275861532e-01,5.000004539999999276e-01,-9.344827586206896797e+00,6.210799999999999876e+00
-7.509173275862067731e-01,5.000004539999999276e-01,-9.327586206896551602e+00,6.210799999999999876e+00
-7.495293103448275041e-01,5.000004539999999276e-01,-9.310344827586206407e+00,6.210799999999999876e+00
-7.481412931034481240e-01,5.000004539999999276e-01,-9.293103448275861211e+00,6.210799999999999876e+00
-7.467532758620689659e-01,5.000004539999999276e-01,-9.275862068965517793e+00,6.210799999999999876e+00
-7.453652586206895858e-01,5.000004539999999276e-01,-9.258620689655172598e+00,6.210799999999999876e+00
-7.439772413793103167e-01,5.000004539999999276e-01,-9.241379310344827402e+00,6.210799999999999876e+00
-7.425892241379309366e-01,5.000004539999999276e-01,-9.224137931034482207e+00,6.210799999999999876e+00
-7.412012068965517786e-01,5.000004539999999276e-01,-9.206896551724138789e+00,6.210799999999999876e+00
-7.398131896551723985e-01,5.000004539999999276e-01,-9.189655172413793593e+00,6.210799999999999876e+00
-7.384251724137930184e-01,5.000004539999999276e-01,-9.172413793103448398e+00,6.210799999999999876e+00
-7.370371551724137493e-01,5.000004539999999276e-01,-9.155172413793103203e+00,6.210799999999999876e+00
-7.356491379310343692e-01,5.000004539999999276e-01,-9.137931034482758008e+00,6.210799999999999876e+00
-7.342611206896552112e-01,5.000004539999999276e-01,-9.120689655172414589e+00,6.210799999999999876e+00
-7.328731034482758311e-01,5.000004539999999276e-01,-9.103448275862069394e+00,6.210799999999999876e+00
-7.314850862068964510e-01,5.000004539999999276e-01,-9.086206896551724199e+00,6.210799999999999876e+00
-7.300970689655171819e-01,5.000004539999999276e-01,-9.068965517241379004e+00,6.210799999999999876e+00
-7.287090517241378018e-01,5.000004539999999276e-01,-9.051724137931033809e+00,6.210799999999999876e+00
-7.273210344827586438e-01,5.000004539999999276e-01,-9.034482758620690390e+00,6.210799999999999876e+00
-7.259330172413792637e-01,5.000004539999999276e-01,-9.017241379310345195e+00,6.210799999999999876e+00
-7.245449999999999946e-01,5.000004539999999276e-01,-9.000000000000000000e+00,6.210799999999999876e+00
-7.209040703517588522e-01,5.000000622181464127e-01,-8.954773869346734472e+00,6.210795133446946892e+00
-7.172631407035174878e-01,4.999973406462525083e-01,-8.909547738693467167e+00,6.210761327200205351e+00
-7.136222110552763453e-01,4.999900167247842697e-01,-8.864321608040201639e+00,6.210670352459900734e+00
-7.099812814070350919e-01,4.999758798275623639e-01,-8.819095477386934334e+00,6.210494749736816367e+00
-7.063403517587939495e-01,4.999527807118409606e-01,-8.773869346733668806e+00,6.210207822021502011e+00
-7.026994221105526961e-01,4.999186309683895657e-01,-8.728643216080401501e+00,6.209783627953414431e+00
-6.990584924623115537e-01,4.998714024715731341e-01,-8.683417085427135973e+00,6.209196974990040196e+00
-6.954175628140701892e-01,4.998091268294325151e-01,-8.638190954773868668e+00,6.208423412576021150e+00
-6.917766331658290468e-01,4.997298948337656199e-01,-8.592964824120603140e+00,6.207439225312286979e+00
-6.881357035175877934e-01,4.996318559102071455e-01,-8.547738693467335835e+00,6.206221426125174467e+00
-6.844947738693466510e-01,4.995132175683101305e-01,-8.502512562814070307e+00,6.204747749435565396e+00
-6.808538442211055086e-01,4.993722448516260126e-01,-8.457286432160804779e+00,6.202996644328004905e+00
-6.772129145728642552e-01,4.992072597877851292e-01,-8.412060301507537474e+00,6.200947267719833178e+00
-6.735719849246231128e-01,4.990166408385777741e-01,-8.366834170854271946e+00,6.198579477530312687e+00
-6.699310552763818594e-01,4.987988223500345319e-01,-8.321608040201004641e+00,6.195873825849755434e+00
-6.662901256281407170e-01,4.985522940025066130e-01,-8.276381909547739113e+00,6.192811552108647533e+00
-6.626491959798993525e-01,4.982756002607469648e-01,-8.231155778894471808e+00,6.189374576246780002e+00
-6.590082663316582101e-01,4.979673398239904958e-01,-8.185929648241206280e+00,6.185545491882374236e+00
-6.553673366834169567e-01,4.976261650760351318e-01,-8.140703517587938975e+00,6.181307559481214575e+00
-6.517264070351758143e-01,4.972507815353216509e-01,-8.095477386934673447e+00,6.176644699525764892e+00
-6.480854773869345609e-01,4.968399473050151838e-01,-8.050251256281406143e+00,6.171541485684308270e+00
-6.444445477386934185e-01,4.963924725230847712e-01,-8.005025125628140614e+00,6.165983137980060924e+00
-6.408036180904521650e-01,4.959072188123851976e-01,-7.959798994974874198e+00,6.159955515960316319e+00
-6.371626884422110226e-01,4.953830987307366596e-01,-7.914572864321607781e+00,6.153445111865557315e+00
-6.335217587939697692e-01,4.948190752210054888e-01,-7.869346733668341365e+00,6.146439043798590518e+00
-6.298808291457285158e-01,4.942141610611852087e-01,-7.824120603015074948e+00,6.138925048893674408e+00
-6.262398994974873734e-01,4.935674183144766469e-01,-7.778894472361809420e+00,6.130891476485643032e+00
-6.225989698492461200e-01,4.928779577793689359e-01,-7.733668341708542115e+00,6.122327281279038580e+00
-6.189580402010049776e-01,4.921449384397197369e-01,-7.688442211055276587e+00,6.113222016517232404e+00
-6.153171105527637241e-01,4.913675669148360181e-01,-7.643216080402010171e+00,6.103565827151556711e+00
-6.116761809045225817e-01,4.905450969095547786e-01,-7.597989949748743754e+00,6.093349443010431798e+00
-6.080352512562813283e-01,4.896768286643232715e-01,-7.552763819095477338e+00,6.082564171968490641e+00
-6.043943216080401859e-01,4.887621084052803933e-01,-7.507537688442210921e+00,6.071201893115712345e+00
-6.007533919597989325e-01,4.878003277943360194e-01,-7.462311557788944505e+00,6.059255049926539627e+00
-5.971124623115576791e-01,4.867909233792527268e-01,-7.417085427135678088e+00,6.046716643429014049e+00
-5.934715326633165366e-01,4.857333760437261283e-01,-7.371859296482412560e+00,6.033580225373904149e+00
-5.898306030150752832e-01,4.846272104574649853e-01,-7.326633165829145256e+00,6.019839891403826471e+00
-5.861896733668341408e-01,4.834719945262724861e-01,-7.281407035175879727e+00,6.005490274222378133e+00
-5.825487437185928874e-01,4.822673388421264140e-01,-7.236180904522613311e+00,5.990526536763262300e+00
-5.789078140703517450e-01,4.810128961332596487e-01,-7.190954773869346894e+00,5.974944365359414533e+00
-5.752668844221104916e-01,4.797083607142412220e-01,-7.145728643216080478e+00,5.958739962912132704e+00
-5.716259547738693492e-01,4.783534679360567088e-01,-7.100502512562814061e+00,5.941910042060204233e+00
-5.679850251256280957e-01,4.769479936361885053e-01,-7.055276381909547645e+00,5.924451818349028898e+00
-5.643440954773868423e-01,4.754917535886969970e-01,-7.010050251256281229e+00,5.906363003399752287e+00
-5.607031658291456999e-01,4.739846029543008377e-01,-6.964824120603014812e+00,5.887641798078391275e+00
-5.570622361809044465e-01,4.724264357304573947e-01,-6.919597989949748396e+00,5.868286885664957708e+00
-5.534213065326633041e-01,4.708171842014438058e-01,-6.874371859296482867e+00,5.848297425022592755e+00
-5.497803768844220507e-01,4.691568183884368692e-01,-6.829145728643215563e+00,5.827673043766684380e+00
-5.461394472361809083e-01,4.674453454995948221e-01,-6.783919597989950034e+00,5.806413831434008799e+00
-5.424985175879395438e-01,4.656828093801363977e-01,-6.738693467336682730e+00,5.784520332651840846e+00
-5.388575879396984014e-01,4.638692899624228261e-01,-6.693467336683417201e+00,5.761993540307097206e+00
-5.352166582914572590e-01,4.620049027160376687e-01,-6.648241206030150785e+00,5.738834888715454774e+00
-5.315757286432160056e-01,4.600897980978675417e-01,-6.603015075376884369e+00,5.715046246790479678e+00
-5.279347989949748632e-01,4.581241610021824506e-01,-6.557788944723617952e+00,5.690629911212750969e+00
-5.242938693467336098e-01,4.561082102107175684e-01,-6.512562814070351536e+00,5.665588599599001185e+00
-5.206529396984923563e-01,4.540421978427520155e-01,-6.467336683417085119e+00,5.639925443671225835e+00
-5.170120100502512139e-01,4.519264088051913597e-01,-6.422110552763818703e+00,5.613643982425829293e+00
-5.133710804020100715e-01,4.497611602426462851e-01,-6.376884422110553174e+00,5.586748155302730723e+00
-5.097301507537687071e-01,4.475468009875148145e-01,-6.331658291457285870e+00,5.559242295354509977e+00
