x_m,r_m,x_over_rt,r_over_rt
# M5 isobutane nozzle [ns] physical wall = inviscid + delta* CFD-extracted v3 (run_0100_ib_m5_R3_LU9_Lc14_ns) normal offset (PhysicalNozzleWall)
# R=3, L_U=9, L_c=14 (r_t units), M_d=5; r_t=0.080505 m
# throat x=-0.000450 m r=0.081295 m; exit x=3.600812 m r=0.522660 m
-7.647974999999999079e-01,5.000004539999999276e-01,-9.500000000000000000e+00,6.210799999999999876e+00
-7.634094827586206389e-01,5.000004539999999276e-01,-9.482758620689654805e+00,6.210799999999999876e+00
-7.620214655172412588e-01,5.000004539999999276e-01,-9.465517241379309610e+00,6.210799999999999876e+00
-7.606334482758621007e-01,5.000004539999999276e-01,-9.448275862068966191e+00,6.210799999999999876e+00
-7.592454310344827206e-01,5.000004539999999276e-01,-9.431034482758620996e+00,6.210799999999999876e+00
-7.578574137931033405e-01,5.000004539999999276e-01,-9.413793103448275801e+00,6.210799999999999876e+00
-7.564693965517240715e-01,5.000004539999999276e-01,-9.396551724137930606e+00,6.210799999999999876e+00
-7.550813793103446914e-01,5.000004539999999276e-01,-9.379310344827585411e+00,6.210799999999999876e+00
-7.536933620689655333e-01,5.000004539999999276e-01,-9.362068965517241992e+00,6.210799999999999876e+00
-7.523053448275861532e-01,5.000004539999999276e-01,-9.344827586206896797e+00,6.210799999999999876e+00
-7.509173275862067731e-01,5.000004539999999276e-01,-9.327586206896551602e+00,6.210799999999999876e+00
-7.495293103448275041e-01,5.000004539999999276e-01,-9.310344827586206407e+00,6.210799999999999876e+00
-7.481412931034481240e-01,5.000004539999999276e-01,-9.293103448275861211e+00,6.210799999999999876e+00
-7.467532758620689659e-01,5.000004539999999276e-01,-9.275862068965517793e+00,6.210799999999999876e+00
-7.453652586206895858e-01,5.000004539999999276e-01,-9.258620689655172598e+00,6.210799999999999876e+00
-7.439772413793103167e-01,5.000004539999999276e-01,-9.241379310344827402e+00,6.210799999999999876e+00
-7.425892241379309366e-01,5.000004539999999276e-01,-9.224137931034482207e+00,6.210799999999999876e+00
-7.412012068965517786e-01,5.000004539999999276e-01,-9.206896551724138789e+00,6.210799999999999876e+00
-7.398131896551723985e-01,5.000004539999999276e-01,-9.189655172413793593e+00,6.210799999999999876e+00
-7.384251724137930184e-01,5.000004539999999276e-01,-9.172413793103448398e+00,6.210799999999999876e+00
-7.370371551724137493e-01,5.000004539999999276e-01,-9.155172413793103203e+00,6.210799999999999876e+00
-7.356491379310343692e-01,5.000004539999999276e-01,-9.137931034482758008e+00,6.210799999999999876e+00
-7.342611206896552112e-01,5.000004539999999276e-01,-9.120689655172414589e+00,6.210799999999999876e+00
-7.328731034482758311e-01,5.000004539999999276e-01,-9.103448275862069394e+00,6.210799999999999876e+00
-7.314850862068964510e-01,5.000004539999999276e-01,-9.086206896551724199e+00,6.210799999999999876e+00
-7.300970689655171819e-01,5.000004539999999276e-01,-9.068965517241379004e+00,6.210799999999999876e+00
-7.287090517241378018e-01,5.000004539999999276e-01,-9.051724137931033809e+00,6.210799999999999876e+00
-7.273210344827586438e-01,5.000004539999999276e-01,-9.034482758620690390e+00,6.210799999999999876e+00
-7.259330172413792637e-01,5.000004539999999276e-01,-9.017241379310345195e+00,6.210799999999999876e+00
-7.245449999999999946e-01,5.000004539999999276e-01,-9.000000000000000000e+00,6.210799999999999876e+00
-7.209063341543249237e-01,5.000000664385790827e-01,-8.954801989371157234e+00,6.210795185871425872e+00
-7.172676683086499638e-01,4.999973740896278551e-01,-8.909603978742314467e+00,6.210761742620059422e+00
-7.136290024629750040e-01,4.999901285211501012e-01,-8.864405968113471701e+00,6.210671741148377833e+00
-7.099903366173000441e-01,4.999761422906212616e-01,-8.819207957484628935e+00,6.210498009944988240e+00
-7.063516707716249732e-01,4.999532884067643956e-01,-8.774009946855786168e+00,6.210214128399036859e+00
-7.027130049259500133e-01,4.999194997913279925e-01,-8.728811936226943402e+00,6.209794420114627123e+00
-6.990743390802751644e-01,4.998727687408620612e-01,-8.683613925598102412e+00,6.209213946225229819e+00
-6.954356732346002046e-01,4.998111463884956640e-01,-8.638415914969259646e+00,6.208448498708101226e+00
-6.917970073889252447e-01,4.997327421657131175e-01,-8.593217904340416879e+00,6.207474593698691478e+00
-6.881583415432501738e-01,4.996357232641317481e-01,-8.548019893711574113e+00,6.206269464805065361e+00
-6.845196756975752139e-01,4.995183140972780933e-01,-8.502821883082731347e+00,6.204811056422310678e+00
-6.808810098519002540e-01,4.993787957623650464e-01,-8.457623872453888580e+00,6.203078017046954606e+00
-6.772423440062252942e-01,4.992155055020688903e-01,-8.412425861825045814e+00,6.201049692591378282e+00
-6.736036781605502233e-01,4.990268361663057761e-01,-8.367227851196203048e+00,6.198706119698227823e+00
-6.699650123148752634e-01,4.988112356740092568e-01,-8.322029840567360282e+00,6.196028019054832470e+00
-6.663263464692003035e-01,4.985672064749065435e-01,-8.276831829938517515e+00,6.192996788707615607e+00
-6.626876806235253436e-01,4.982933050112958173e-01,-8.231633819309674749e+00,6.189594497376509352e+00
-6.590490147778502728e-01,4.979881411798229296e-01,-8.186435808680831983e+00,6.185803877769368242e+00
-6.554103489321753129e-01,4.976503777932584360e-01,-8.141237798051989216e+00,6.181608319896384707e+00
-6.517716830865003530e-01,4.972787300422741863e-01,-8.096039787423146450e+00,6.176991864384500985e+00
-6.481330172408253931e-01,4.968719649572208574e-01,-8.050841776794303684e+00,6.171939195791825483e+00
-6.444943513951505443e-01,4.964289008699040995e-01,-8.005643766165462694e+00,6.166435635922043801e+00
-6.408556855494754734e-01,4.959484068753619024e-01,-7.960445755536619039e+00,6.160467137138835092e+00
-6.372170197038005135e-01,4.954294022936412967e-01,-7.915247744907777161e+00,6.154020275680284868e+00
-6.335783538581255536e-01,4.948708561315754428e-01,-7.870049734278934395e+00,6.147082244973299581e+00
-6.299396880124505937e-01,4.942717865445603320e-01,-7.824851723650091628e+00,6.139640848948020313e+00
-6.263010221667756339e-01,4.936312602983317088e-01,-7.779653713021248862e+00,6.131684495352235587e+00
-6.226623563211005630e-01,4.929483922307420496e-01,-7.734455702392406096e+00,6.123202189065798606e+00
-6.190236904754256031e-01,4.922223447135375407e-01,-7.689257691763563329e+00,6.114183525415037401e+00
-6.153850246297506432e-01,4.914523271141346683e-01,-7.644059681134720563e+00,6.104618683487171182e+00
-6.117463587840756833e-01,4.906375952573973076e-01,-7.598861670505877797e+00,6.094498419444722259e+00
-6.081076929384006124e-01,4.897774508874139232e-01,-7.553663659877035030e+00,6.083814059839935062e+00
-6.044690270927257636e-01,4.888712411292737703e-01,-7.508465649248193152e+00,6.072557494929181843e+00
-6.008303612470508037e-01,4.879183579508443169e-01,-7.463267638619350386e+00,6.060721171987384359e+00
-5.971916954013757328e-01,4.869182376245480559e-01,-7.418069627990507620e+00,6.048298088622422242e+00
-5.935530295557007729e-01,4.858703601891394275e-01,-7.372871617361664853e+00,6.035281786089552902e+00
-5.899143637100258131e-01,4.847742489114813536e-01,-7.327673606732822087e+00,6.021666342605818123e+00
-5.862756978643508532e-01,4.836294697483226046e-01,-7.282475596103979321e+00,6.007446366664463966e+00
-5.826370320186758933e-01,4.824356308080746669e-01,-7.237277585475137442e+00,5.992616990349353578e+00
-5.789983661730009334e-01,4.811923818125881658e-01,-7.192079574846294676e+00,5.977173862649378222e+00
-5.753597003273258625e-01,4.798994135589301768e-01,-7.146881564217451910e+00,5.961113142772873630e+00
-5.717210344816509027e-01,4.785564573811610378e-01,-7.101683553588609144e+00,5.944431493462034588e+00
-5.680823686359759428e-01,4.771632846121114380e-01,-7.056485542959766377e+00,5.927126074307328629e+00
-5.644437027903009829e-01,4.757197060451587856e-01,-7.011287532330923611e+00,5.909194535061907061e+00
-5.608050369446260230e-01,4.742255713960045749e-01,-6.966089521702080845e+00,5.890635008956023100e+00
-5.571663710989509521e-01,4.726807687644511979e-01,-6.920891511073238078e+00,5.871446106011442900e+00
-5.535277052532759923e-01,4.710852240961784787e-01,-6.875693500444395312e+00,5.851626906355860136e+00
-5.498890394076010324e-01,4.694389006445213730e-01,-6.830495489815553434e+00,5.831176953537313246e+00
-5.462503735619260725e-01,4.677417984322458366e-01,-6.785297479186710667e+00,5.810096247838592021e+00
-5.426117077162511126e-01,4.659939537133265808e-01,-6.740099468557867901e+00,5.788385239591660181e+00
-5.389730418705761528e-01,4.641954384347234952e-01,-6.694901457929025135e+00,5.766044822492062849e+00
-5.353343760249011929e-01,4.623463596981587931e-01,-6.649703447300183257e+00,5.743076326913344687e+00
-5.316957101792262330e-01,4.604468592218935452e-01,-6.604505436671340490e+00,5.719481513221459146e+00
-5.280570443335512731e-01,4.584971128025050469e-01,-6.559307426042497724e+00,5.695262565089188378e+00
-5.244183784878762022e-01,4.564973297766636295e-01,-6.514109415413654958e+00,5.670422082810554265e+00
-5.207797126422012424e-01,4.544477524829090287e-01,-6.468911404784812191e+00,5.644963076615229447e+00
-5.171410467965262825e-01,4.523486557234279171e-01,-6.423713394155969425e+00,5.618888959982957232e+00
-5.135023809508513226e-01,4.502003462258306055e-01,-6.378515383527126659e+00,5.592203542957960849e+00
-5.098637151051762517e-01,4.480031621049277990e-01,-6.333317372898283892e+00,5.564911025463360694e+00
-5.062250492595012918e-01,4.457574723245075199e-01,-6.288119362269441126e+00,5.537015990615583583e+00
-5.025863834138263320e-01,4.434636761591121412e-01,-6.242921351640598360e+00,5.508523398038782659e+00
-4.989477175681513166e-01,4.411222026558153098e-01,-6.197723341011755593e+00,5.479438577179247538e+00
-4.953090517224764122e-01,4.387335100959986467e-01,-6.152525330382913715e+00,5.449767220619820662e+00
-4.916703858768014523e-01,4.362980854571286149e-01,-6.107327319754070949e+00,5.419515377394306554e+00
-4.880317200311264370e-01,4.338164438745337748e-01,-6.062129309125228183e+00,5.388689446301891728e+00
-4.843930541854515326e-01,4.312891281031813739e-01,-6.016931298496386304e+00,5.357296169221556603e+00
-4.807543883397765727e-01,4.287167079794542146e-01,-5.971733287867543538e+00,5.325342624426485649e+00
-4.771157224941015573e-01,4.260997798829277428e-01,-5.926535277238700772e+00,5.292836219898488181e+00
-4.734770566484265975e-01,4.234389661981469710e-01,-5.881337266609858005e+00,5.259784686642407614e+00
-4.698383908027515821e-01,4.207349147764029573e-01,-5.836139255981015239e+00,5.226196072000534265e+00
-4.661997249570766222e-01,4.179882983975103383e-01,-5.790941245352172473e+00,5.192078732967025267e+00
-4.625610591114016068e-01,4.151998142315836415e-01,-5.745743234723329707e+00,5.157441329502312932e+00
-4.589223932657266469e-01,4.123701833008146522e-01,-5.700545224094486940e+00,5.122292817847521107e+00
-4.552837274200516315e-01,4.095001499412487811e-01,-5.655347213465644174e+00,5.086642443838877092e+00
