x,M_axis_run1,M_axis_run2,Mfit_run1,Mfit_run2
-3.999999910593032837e-02,1.080823987722396851e-01,1.070955842733383179e-01,1.081329807639122009e-01,1.082517132163047791e-01
-3.911668062210083008e-02,1.082700118422508240e-01,1.074890121817588806e-01,1.083142980933189392e-01,1.083807647228240967e-01
-3.823396563529968262e-02,1.086049303412437439e-01,1.078293398022651672e-01,1.086505651473999023e-01,1.087251156568527222e-01
-3.735205531120300293e-02,1.092280149459838867e-01,1.085103750228881836e-01,1.092737242579460144e-01,1.093216389417648315e-01
-3.647118806838989258e-02,1.100474298000335693e-01,1.093731969594955444e-01,1.100900918245315552e-01,1.101630553603172302e-01
-3.559168055653572083e-02,1.111559942364692688e-01,1.104758381843566895e-01,1.111971586942672729e-01,1.112601161003112793e-01
-3.471392393112182617e-02,1.125027313828468323e-01,1.118351966142654419e-01,1.125401630997657776e-01,1.126125976443290710e-01
-3.383839130401611328e-02,1.141493245959281921e-01,1.134637743234634399e-01,1.141815558075904846e-01,1.142387464642524719e-01
-3.296566754579544067e-02,1.160676702857017517e-01,1.153697147965431213e-01,1.160961538553237915e-01,1.161494478583335876e-01
-3.209645301103591919e-02,1.182904168963432312e-01,1.175814196467399597e-01,1.183165684342384338e-01,1.183572039008140564e-01
-3.123156540095806122e-02,1.208192631602287292e-01,1.201068758964538574e-01,1.208435446023941040e-01,1.208781898021697998e-01
-3.037196025252342224e-02,1.236782148480415344e-01,1.229589432477951050e-01,1.237014606595039368e-01,1.237246319651603699e-01
-2.951872348785400391e-02,1.268738210201263428e-01,1.261484771966934204e-01,1.268965005874633789e-01,1.269118189811706543e-01
-2.867306023836135864e-02,1.304316669702529907e-01,1.296999454498291016e-01,1.304524987936019897e-01,1.304562240839004517e-01
-2.783628925681114197e-02,1.343554854393005371e-01,1.336233019828796387e-01,1.343748420476913452e-01,1.343675404787063599e-01
-2.700980380177497864e-02,1.386608332395553589e-01,1.379295885562896729e-01,1.386783421039581299e-01,1.386575400829315186e-01
-2.619504369795322418e-02,1.433532536029815674e-01,1.426166892051696777e-01,1.433686912059783936e-01,1.433350592851638794e-01
-2.539345063269138336e-02,1.484400779008865356e-01,1.477003842592239380e-01,1.484534144401550293e-01,1.484048664569854736e-01
-2.460641227662563324e-02,1.539228707551956177e-01,1.531962156295776367e-01,1.539337933063507080e-01,1.538690477609634399e-01
-2.383522875607013702e-02,1.598021537065505981e-01,1.591013222932815552e-01,1.598104089498519897e-01,1.597277075052261353e-01
-2.308104746043682098e-02,1.660732924938201904e-01,1.654130071401596069e-01,1.660793423652648926e-01,1.659776270389556885e-01
-2.234483510255813599e-02,1.727306544780731201e-01,1.721085906028747559e-01,1.727344393730163574e-01,1.726137548685073853e-01
-2.162735350430011749e-02,1.797644346952438354e-01,1.791866421699523926e-01,1.797663569450378418e-01,1.796264201402664185e-01
-2.092912606894969940e-02,1.871650665998458862e-01,1.866322308778762817e-01,1.871648728847503662e-01,1.870056688785552979e-01
-2.025046572089195251e-02,1.949200034141540527e-01,1.944257616996765137e-01,1.949177682399749756e-01,1.947398036718368530e-01
-1.959145069122314453e-02,2.030158489942550659e-01,2.025593370199203491e-01,2.030117213726043701e-01,2.028155773878097534e-01
-1.895198412239551544e-02,2.114390879869461060e-01,2.110158205032348633e-01,2.114332169294357300e-01,2.112193256616592407e-01
-1.833177916705608368e-02,2.201759964227676392e-01,2.197848260402679443e-01,2.201681435108184814e-01,2.199372947216033936e-01
-1.773039437830448151e-02,2.292131632566452026e-01,2.288538515567779541e-01,2.292034626007080078e-01,2.289562374353408813e-01
-1.714728958904743195e-02,2.385378181934356689e-01,2.382068186998367310e-01,2.385264933109283447e-01,2.382638156414031982e-01
-1.658182963728904724e-02,2.481379806995391846e-01,2.478332817554473877e-01,2.481248378753662109e-01,2.478476017713546753e-01
-1.603330858051776886e-02,2.580022513866424561e-01,2.577209174633026123e-01,2.579872906208038330e-01,2.576965391635894775e-01
-1.550099719315767288e-02,2.681201994419097900e-01,2.678647339344024658e-01,2.681034505367279053e-01,2.677998542785644531e-01
-1.498411688953638077e-02,2.784828841686248779e-01,2.782520949840545654e-01,2.784643173217773438e-01,2.781488895416259766e-01
-1.448191143572330475e-02,2.890814840793609619e-01,2.888697087764739990e-01,2.890610992908477783e-01,2.887353003025054932e-01
-1.399361528456211090e-02,2.999086081981658936e-01,2.997102439403533936e-01,2.998862266540527344e-01,2.995513081550598145e-01
-1.351846568286418915e-02,3.109573721885681152e-01,3.107730746269226074e-01,3.109330236911773682e-01,3.105900883674621582e-01
-1.305573899298906326e-02,3.222224712371826172e-01,3.220503032207489014e-01,3.221959769725799561e-01,3.218460977077484131e-01
-1.260472554713487625e-02,3.336991965770721436e-01,3.335358798503875732e-01,3.336701989173889160e-01,3.333143889904022217e-01
-1.216475944966077805e-02,3.453803360462188721e-01,3.452269732952117920e-01,3.453494012355804443e-01,3.449887931346893311e-01
-1.173519436269998550e-02,3.572641313076019287e-01,3.571154475212097168e-01,3.572307527065277100e-01,3.568662106990814209e-01
-1.131541002541780472e-02,3.693466186523437500e-01,3.691980838775634766e-01,3.693105280399322510e-01,3.689434826374053955e-01
-1.090483460575342178e-02,3.816242218017578125e-01,3.814775347709655762e-01,3.815855085849761963e-01,3.812164962291717529e-01
-1.050291024148464203e-02,3.940945863723754883e-01,3.939496874809265137e-01,3.940529823303222656e-01,3.936828374862670898e-01
-1.010911632329225540e-02,4.067550003528594971e-01,4.066119790077209473e-01,4.067105650901794434e-01,4.063402116298675537e-01
-9.722977876663208008e-03,4.196032285690307617e-01,4.194554984569549561e-01,4.195556938648223877e-01,4.191862940788269043e-01
-9.344011545181274414e-03,4.326375126838684082e-01,4.324867427349090576e-01,4.325867891311645508e-01,4.322192370891571045e-01
-8.971793577075004578e-03,4.458560943603515625e-01,4.456991553306579590e-01,4.458022117614746094e-01,4.454370737075805664e-01
-8.605910465121269226e-03,4.592575430870056152e-01,4.590947926044464111e-01,4.592002332210540771e-01,4.588383138179779053e-01
-8.245969191193580627e-03,4.728406667709350586e-01,4.726721644401550293e-01,4.727799892425537109e-01,4.724214971065521240e-01
-7.891599088907241821e-03,4.866041243076324463e-01,4.864318668842315674e-01,4.865399003028869629e-01,4.861856997013092041e-01
-7.542470004409551620e-03,5.005466938018798828e-01,5.003690123558044434e-01,5.004787445068359375e-01,5.001290440559387207e-01
-7.198237814009189606e-03,5.146665573120117188e-01,5.144862532615661621e-01,5.145952105522155762e-01,5.142506957054138184e-01
-6.858596112579107285e-03,5.289642810821533203e-01,5.287792682647705078e-01,5.288890600204467773e-01,5.285504460334777832e-01
-6.523250136524438858e-03,5.434384942054748535e-01,5.432465076446533203e-01,5.433595776557922363e-01,5.430271625518798828e-01
-6.191922817379236221e-03,5.580879449844360352e-01,5.578885078430175781e-01,5.580049753189086914e-01,5.576796531677246094e-01
-5.864344071596860886e-03,5.729126930236816406e-01,5.727086067199707031e-01,5.728258490562438965e-01,5.725076198577880859e-01
-5.540260113775730133e-03,5.879107117652893066e-01,5.877073407173156738e-01,5.878202319145202637e-01,5.875090956687927246e-01
-5.219437181949615479e-03,6.030825376510620117e-01,6.028782725334167480e-01,6.029883623123168945e-01,6.026846170425415039e-01
-4.901632200926542282e-03,6.184269189834594727e-01,6.182203292846679688e-01,6.183289885520935059e-01,6.180335283279418945e-01
-4.586635157465934753e-03,6.339431405067443848e-01,6.337419152259826660e-01,6.338416934013366699e-01,6.335542798042297363e-01
-4.274225793778896332e-03,6.496313214302062988e-01,6.494333148002624512e-01,6.495262980461120605e-01,6.492471098899841309e-01
-3.964202012866735458e-03,6.654905676841735840e-01,6.652952432632446289e-01,6.653820872306823730e-01,6.651116609573364258e-01
-3.656367072835564613e-03,6.815203428268432617e-01,6.813324093818664551e-01,6.814083456993103027e-01,6.811473369598388672e-01
-3.350533079355955124e-03,6.977206468582153320e-01,6.975397467613220215e-01,6.976055502891540527e-01,6.973530054092407227e-01
-3.046514000743627548e-03,7.140905857086181641e-01,7.139202356338500977e-01,7.139722108840942383e-01,7.137288451194763184e-01
-2.744131954386830330e-03,7.306300401687622070e-01,7.304731607437133789e-01,7.305088639259338379e-01,7.302745580673217773e-01
-2.443212084472179413e-03,7.473389506340026855e-01,7.471985816955566406e-01,7.472150921821594238e-01,7.469895482063293457e-01
-2.143586985766887665e-03,7.642169594764709473e-01,7.640947699546813965e-01,7.640905976295471191e-01,7.638741731643676758e-01
-1.845090999267995358e-03,7.812639474868774414e-01,7.811626791954040527e-01,7.811354994773864746e-01,7.809274196624755859e-01
-1.547559979371726513e-03,7.984806299209594727e-01,7.983999848365783691e-01,7.983499169349670410e-01,7.981503009796142578e-01
-1.250835950486361980e-03,8.158665299415588379e-01,8.158123493194580078e-01,8.157339692115783691e-01,8.155419826507568359e-01
-9.547619847580790520e-04,8.334229588508605957e-01,8.333982825279235840e-01,8.332884907722473145e-01,8.331028819084167480e-01
-6.591820274479687214e-04,8.511513471603393555e-01,8.511546254158020020e-01,8.510149121284484863e-01,8.508331775665283203e-01
-3.639429924078285694e-04,8.690504431724548340e-01,8.690856695175170898e-01,8.689129948616027832e-01,8.687328696250915527e-01
-6.889199721626937389e-05,8.870990872383117676e-01,8.871908783912658691e-01,8.869682550430297852e-01,8.868027925491333008e-01
2.261240006191655993e-04,9.052776694297790527e-01,9.054716825485229492e-01,9.051530361175537109e-01,9.050439596176147461e-01
