# va3 L_c8 形状の軸中心分布: 新条件 (Pt 1.139 MPa/Tt 1161 K/新組成) vs 旧条件 (Pt 1.137 MPa/Tt 1058 K/旧組成) x {dry,noneq,eq}
# x_over_rt,x_m,M__va3_M4.19_Lc8_dry,T__va3_M4.19_Lc8_dry,P__va3_M4.19_Lc8_dry,rho__va3_M4.19_Lc8_dry,S__va3_M4.19_Lc8_dry,Tsat__va3_M4.19_Lc8_dry,g__va3_M4.19_Lc8_dry,M__va3_M4.19_Lc8_noneq,T__va3_M4.19_Lc8_noneq,P__va3_M4.19_Lc8_noneq,rho__va3_M4.19_Lc8_noneq,S__va3_M4.19_Lc8_noneq,Tsat__va3_M4.19_Lc8_noneq,g__va3_M4.19_Lc8_noneq,M__va3_M4.19_Lc8_eq,T__va3_M4.19_Lc8_eq,P__va3_M4.19_Lc8_eq,rho__va3_M4.19_Lc8_eq,S__va3_M4.19_Lc8_eq,Tsat__va3_M4.19_Lc8_eq,g__va3_M4.19_Lc8_eq,M__va3old_Lc8_dry,T__va3old_Lc8_dry,P__va3old_Lc8_dry,rho__va3old_Lc8_dry,S__va3old_Lc8_dry,Tsat__va3old_Lc8_dry,g__va3old_Lc8_dry,M__va3old_Lc8_noneq,T__va3old_Lc8_noneq,P__va3old_Lc8_noneq,rho__va3old_Lc8_noneq,S__va3old_Lc8_noneq,Tsat__va3old_Lc8_noneq,g__va3old_Lc8_noneq,M__va3old_Lc8_eq,T__va3old_Lc8_eq,P__va3old_Lc8_eq,rho__va3old_Lc8_eq,S__va3old_Lc8_eq,Tsat__va3old_Lc8_eq,g__va3old_Lc8_eq
-6.49999952,-1.33712149,0.046695883,1160.61487,1137368,3.43523264,1.76976118e-05,362.742371,0,0.0466956016,1160.61487,1137368.12,3.43523288,1.76976391e-05,362.742279,0,0.0466961457,1160.61511,1137368.38,3.43523288,1.76976755e-05,362.742401,0,0.0466424922,1057.63684,1135360.88,3.75462627,3.27181078e-05,355.638977,0,0.0466430606,1057.63672,1135360.75,3.75462532,3.27179769e-05,355.638824,0,0.0466439343,1057.63684,1135361.38,3.75462699,3.27179914e-05,355.638855,0
-6.400949,-1.31674564,0.0467199716,1160.61414,1137383.62,3.43528175,1.76979538e-05,362.742645,0,0.0467200934,1160.61414,1137383.62,3.43528199,1.76979956e-05,362.742645,0,0.0467202081,1160.61426,1137383.62,3.43528152,1.76980393e-05,362.742737,0,0.046666593,1057.63599,1135376.38,3.75467992,3.27184862e-05,355.63916,0,0.0466674939,1057.63586,1135375.75,3.75467801,3.27186499e-05,355.63916,0,0.0466684644,1057.63586,1135375.88,3.75467849,3.27186863e-05,355.639191,0
-6.301898,-1.29636979,0.0468317702,1160.61218,1137370.38,3.43524742,1.76982012e-05,362.742401,0,0.0468316265,1160.61243,1137370.5,3.43524742,1.76980448e-05,362.74234,0,0.0468318993,1160.6123,1137370.25,3.43524694,1.76981248e-05,362.742432,0,0.0467784057,1057.63428,1135363.12,3.75464225,3.27189809e-05,355.638855,0,0.046779804,1057.63403,1135362.88,3.75464225,3.27188063e-05,355.638855,0,0.0467802091,1057.63428,1135362.88,3.75464129,3.27187663e-05,355.638885,0
-6.20284796,-1.27599406,0.0469747873,1160.60718,1137366,3.43524933,1.76988051e-05,362.74234,0,0.0469743942,1160.6073,1137366.25,3.43524957,1.76987705e-05,362.742249,0,0.0469746887,1160.60718,1137365.75,3.43524861,1.76988433e-05,362.74234,0,0.0469214999,1057.62939,1135358.5,3.75464416,3.27200942e-05,355.638672,0,0.0469230205,1057.62939,1135358.25,3.75464344,3.27199923e-05,355.638763,0,0.046923932,1057.62952,1135358.25,3.75464272,3.27199887e-05,355.638794,0
-6.10379696,-1.25561821,0.0472080469,1160.60547,1137344.75,3.4351902,1.76986487e-05,362.741821,0,0.0472077191,1160.60547,1137345,3.43519115,1.76987123e-05,362.74176,0,0.0472081644,1160.60559,1137344.88,3.43518996,1.76987542e-05,362.741852,0,0.0471541916,1057.62781,1135337.38,3.75457978,3.27198504e-05,355.638458,0,0.0471556563,1057.62769,1135337.25,3.75458002,3.27198759e-05,355.638306,0,0.0471568096,1057.62781,1135337.38,3.75458002,3.27198723e-05,355.638336,0
-6.00474596,-1.23524237,0.047484416,1160.59937,1137329.62,3.43516254,1.76992853e-05,362.741364,0,0.047484619,1160.59973,1137330,3.43516254,1.76993635e-05,362.741425,0,0.047484593,1160.59961,1137329.75,3.43516159,1.76994363e-05,362.741516,0,0.0474295586,1057.62231,1135322.12,3.75454903,3.27207854e-05,355.63797,0,0.0474303765,1057.62219,1135322.12,3.7545495,3.27210073e-05,355.63797,0,0.0474319953,1057.62231,1135321.88,3.75454807,3.27209855e-05,355.63797,0
-5.90569544,-1.21486652,0.0478455458,1160.59473,1137300.38,3.43508792,1.76996837e-05,362.740753,0,0.0478459648,1160.59521,1137300.88,3.43508792,1.76995982e-05,362.740753,0,0.0478457822,1160.59485,1137300.38,3.4350872,1.76997073e-05,362.740814,0,0.047789802,1057.61804,1135292.88,3.75446749,3.27215785e-05,355.637451,0,0.0477901225,1057.6178,1135292.88,3.75446844,3.2721422e-05,355.637329,0,0.0477910688,1057.6178,1135292.88,3.75446868,3.27214402e-05,355.637329,0
-5.80664444,-1.19449067,0.0482596065,1160.58679,1137274.38,3.43503308,1.7700464e-05,362.740265,0,0.0482601332,1160.58704,1137274.5,3.43503237,1.7700424e-05,362.740112,0,0.0482593439,1160.58691,1137274.25,3.43503213,1.77005113e-05,362.740234,0,0.0482036853,1057.61035,1135266.62,3.75440788,3.27226298e-05,355.636719,0,0.0482036325,1057.61023,1135266.5,3.75440788,3.27228227e-05,355.636749,0,0.0482048431,1057.61023,1135266.25,3.75440717,3.27228336e-05,355.636749,0
-5.70759344,-1.17411482,0.0487600853,1160.57922,1137235.62,3.43493795,1.77010079e-05,362.739227,0,0.0487601362,1160.57922,1137235.75,3.43493867,1.77009897e-05,362.739197,0,0.0487599273,1160.57898,1137235.25,3.43493772,1.77011098e-05,362.739319,0,0.0487027842,1057.60291,1135227.38,3.75430465,3.27238158e-05,355.635864,0,0.0487021056,1057.60278,1135227.38,3.75430512,3.27238231e-05,355.635895,0,0.0487031771,1057.60303,1135227.25,3.75430393,3.27237613e-05,355.635895,0
-5.6085434,-1.15373909,0.0493238333,1160.5686,1137196.62,3.43485212,1.77021175e-05,362.738373,0,0.0493234212,1160.56885,1137196.62,3.43485141,1.77019556e-05,362.738281,0,0.0493228223,1160.56848,1137196.75,3.43485236,1.77021047e-05,362.738403,0,0.0492648544,1057.59302,1135188.75,3.75421166,3.27254456e-05,355.635193,0,0.0492634334,1057.59302,1135188.88,3.7542119,3.27254893e-05,355.63504,0,0.0492644021,1057.59338,1135188.62,3.75421047,3.27254056e-05,355.63504,0
