"# NASA CEA2 frozen (nfz=1) 5-species, Pt=1139000 Pa Tt=1161 K; P in bar, u=Isp[m/s]"
Pinf/P,P,T,RHO,H,Cp,GAMMAs,a,M,AeAt,u
1.0,11.39,1161.0,3.439,-200.98,1.2207,1.305,657.4,0.0,nan,0.0
1.05,10.848,1147.82,3.3128,-217.05,1.2184,1.3057,653.9,0.274,2.2301,179.3
1.1,10.355,1135.38,3.1969,-232.2,1.2161,1.3065,650.5,0.384,1.6579,249.9
1.2,9.4917,1112.4,2.991,-260.1,1.2119,1.3079,644.2,0.534,1.2877,343.8
1.3,8.7615,1091.6,2.8136,-285.26,1.2079,1.3092,638.5,0.643,1.1465,410.6
1.4,8.1357,1072.63,2.6588,-308.14,1.2042,1.3104,633.2,0.731,1.076,462.9
1.5,7.5933,1055.22,2.5225,-329.08,1.2007,1.3116,628.4,0.806,1.0373,506.1
1.6,7.1188,1039.14,2.4014,-348.36,1.1974,1.3127,623.8,0.87,1.0158,542.9
1.7,6.7,1024.22,2.2931,-366.2,1.1943,1.3138,619.6,0.928,1.0047,574.8
1.8424,6.1823,1004.7,2.157,-389.47,1.1902,1.3153,614.0,1.0,1.0,614.0
1.85,6.1568,1003.71,2.1502,-390.66,1.1899,1.3153,613.7,1.004,1.0,615.9
2.0,5.695,985.09,2.0266,-412.77,1.1859,1.3168,608.3,1.07,1.0041,650.8
2.25,5.0622,957.5,1.8533,-445.4,1.1798,1.3189,600.2,1.165,1.0221,699.2
2.5,4.556,933.36,1.7111,-473.82,1.1743,1.3209,593.0,1.246,1.0478,738.7
3.0,3.7967,892.76,1.4908,-521.3,1.1648,1.3243,580.8,1.378,1.1099,800.4
3.5,3.2543,859.57,1.3271,-559.83,1.1568,1.3273,570.5,1.485,1.1779,847.2
4.0,2.8475,831.64,1.2002,-592.04,1.1498,1.33,561.7,1.574,1.2477,884.4
5.0,2.278,786.63,1.0151,-643.53,1.1382,1.3345,547.2,1.719,1.3867,940.8
6.0,1.8983,751.35,0.8856700000000001,-683.52,1.1288,1.3382,535.6,1.834,1.5221,982.4
7.0,1.6271,722.54,0.7894100000000001,-715.93,1.121,1.3414,525.8,1.93,1.6531,1014.8
8.0,1.4238,698.33,0.71468,-742.99,1.1143,1.3441,517.5,2.012,1.7798,1041.2
10.0,1.139,659.37,0.60553,-786.19,1.1036,1.3486,503.7,2.148,2.0216,1081.9
12.0,0.94917,628.9,0.52905,-819.69,1.0951,1.3522,492.5,2.258,2.2504,1112.4
15.0,0.75933,593.23,0.44869000000000003,-858.58,1.0853,1.3566,479.1,2.393,2.5737,1146.8
20.0,0.5695,549.8,0.3631,-905.46,1.0737,1.3618,462.2,2.568,3.0728,1187.0
25.0,0.4556,518.03,0.3083,-939.44,1.0654,1.3657,449.2,2.705,3.5348,1215.3
30.0,0.37967,493.28,0.26981000000000005,-965.74,1.0592,1.3686,438.8,2.818,3.969,1236.7
40.0,0.28475,456.35,0.21873,-1004.68,1.0505,1.3728,422.8,2.999,4.7757,1267.8
50.0,0.2278,429.44,0.18595,-1032.87,1.0445,1.3757,410.5,3.142,5.5217,1289.9
60.0,0.18983,408.54,0.16288000000000002,-1054.66,1.0402,1.3779,400.7,3.261,6.2225,1306.7
80.0,0.14238,377.46,0.13222,-1086.9,1.0342,1.3809,385.6,3.452,7.5247,1331.1
100.0,0.1139,354.88,0.11251,-1110.2,1.0302,1.3829,374.2,3.604,8.7293,1348.5
130.0,0.08762,329.97,0.09307900000000001,-1135.82,1.0262,1.385,361.1,3.787,10.406,1367.4
160.0,0.07119,311.43,0.080127,-1154.81,1.0235,1.3864,351.0,3.935,11.967,1381.2
190.0,0.05995,296.85,0.070789,-1169.71,1.0215,1.3875,342.8,4.061,13.441,1391.9
224.83,0.05066,283.21,0.06270400000000001,-1183.64,1.0198,1.3884,334.9,4.186,15.066,1401.9
226.1,0.05038,282.77,0.062451,-1184.09,1.0197,1.3884,334.7,4.19,15.124,1402.2
226.11,0.05037,282.76,0.062449000000000005,-1184.1,1.0197,1.3884,334.7,4.19,15.124,1402.2
250.0,0.04556,274.92,0.058091000000000004,-1192.09,1.0187,1.3889,330.0,4.266,16.193,1407.9
