Pinf/P,M_cea,T_cea,rho_cea,u_cea,a_cea,T_forge,rho_forge,u_forge,a_forge,M_forge,x_forge,dT,drho,du,da,dM
1.05,0.273,1047.64,3.6247,171.5,628.1,1047.6393033689828,3.6247135913741557,171.36944836268833,628.0812363050712,0.27284745838670016,-0.34943579006990166,-6.64952671924901e-05,0.0003749654911011646,-0.0761234036802727,-0.0029873738144892137,-0.055876048827788044
1.1,0.383,1035.96,3.4989,239.0,624.8,1035.9541184808481,3.4989766275473073,238.98010072942947,624.7641549863661,0.38251277121308797,-0.2522594728109464,-0.0005677361241684942,0.002190046794914302,-0.008326054632024071,-0.005737038033593045,-0.1272137824835618
1.2,0.532,1014.41,3.2755,328.8,618.6,1014.397008181173,3.27558119476238,328.80784115682127,618.5970013946635,0.5315422627487798,-0.15940297925259939,-0.0012807266122183414,0.0024788509351170163,0.002384780055120217,-0.00048474059756165033,-0.08604083669553099
1.3,0.64,994.91,3.0828,392.6,613.0,994.8964147166138,3.082890763484777,392.5608674311556,612.9634756878321,0.6404365301274485,-0.10569794537190623,-0.0013654786248151751,0.0029441898526272325,-0.00996754173316905,-0.005958289097540703,0.06820783241382605
1.4,0.728,977.13,2.9147,442.6,607.8,977.1178806299935,2.914785206968031,442.5958287611253,607.7779992318275,0.7282265561674032,-0.06748944781707035,-0.0012403027239482611,0.002923352936190504,-0.0009424398722868155,-0.003619738100113512,0.03112035266527353
1.5,0.802,960.81,2.7666,483.9,603.0,960.800609393653,2.766648611848656,483.8805611708091,602.9756675428638,0.8024915107906977,-0.037627291534500604,-0.000977363510679119,0.001757097110388628,-0.004017117005761239,-0.004035233355925705,0.06128563475033002
1.6,0.867,945.75,2.635,518.9,598.5,945.7402429818562,2.635084353290219,518.953298296055,598.5055363772757,0.8670918952199592,-0.01304883472808683,-0.001031669906825794,0.003201263385932407,0.010271400280403853,0.0009250421513229412,0.010599217988376703
1.7,0.924,931.78,2.5172,549.4,594.3,931.766045379472,2.5172887072448273,549.4139684350863,594.3252215817389,0.9244446929128101,0.007919287872323624,-0.0014976303985947403,0.0035240443678530298,0.0025424890947034484,0.004243914140822369,0.04812693861580287
1.8498,1.0,912.6,2.3619,588.5,588.5,912.5903848904295,2.362052905246896,588.5489203210326,588.536551291338,1.0000329363310585,0.03456179285313822,-0.0010535951753820605,0.006473823908548226,0.008312713854308207,0.006210924611393942,0.003293633105849736
1.85,1.0,912.58,2.3617,588.6,588.5,912.5660646369267,2.36186112914684,588.5966618696489,588.5291666853869,1.0001266902542056,0.03459417571111451,-0.0015270291999880392,0.006822591643307341,-0.0005671305387644487,0.004956106267961502,0.01266902542056414
2.0,1.066,895.16,2.2271,621.9,583.2,895.1533953561546,2.227244269311825,621.8804056096003,583.21846528464,1.0663056812554068,0.05717818047143886,-0.0007378171327232508,0.006477900041534923,-0.003150730085166309,0.003166201069948471,0.028675539906824896
2.25,1.161,869.37,2.0384,667.9,575.3,869.3601869951736,2.0384228108854305,667.9711699869631,575.2546759346345,1.16117631323573,0.08866186117299346,-0.0011287489591671473,0.001119058351184421,0.010655784842517058,-0.007878335714484042,0.015186325213606768
2.5,1.242,846.82,1.8834,705.6,568.2,846.8154531958696,1.88355204861936,705.5783846480637,568.1924864438253,1.2418156093851747,0.11488623048841491,-0.000536926871164134,0.008073092245930447,-0.0030634002177398756,-0.001322343571763529,-0.01484626528384348
3.0,1.374,808.93,1.643,764.3,556.1,808.9238237976261,1.6430580938283719,764.3116665436831,556.1023257098906,1.3744131054809177,0.15773813832043687,-0.0007635026978647375,0.0035358386105910355,0.0015264351279853372,0.0004182179267342434,0.030065901085702524
3.5,1.481,777.98,1.4643,808.7,546.0,777.989512165845,1.4644182798574694,808.7544280910148,546.0085732530299,1.4812317330577072,0.1924384072304854,0.0012226748560273393,0.008077569997233525,0.006730319156011966,0.001570192862621056,0.0156470666919023
4.0,1.571,751.97,1.3256,844.1,537.4,751.9866619635324,1.3257623693175224,844.0794029713635,537.3570437321746,1.5708345232748984,0.22168122315677666,0.0022157750352080896,0.012248741514975237,-0.0024401171231480667,-0.0079933509165242,-0.010533209745486162
5.0,1.716,710.11,1.123,897.6,523.1,710.1286846562695,1.1231332369894362,897.6313642798497,523.0835969456132,1.7160754215175082,0.26900492328795567,0.00263123407211463,0.011864380181325629,0.00349423795116266,-0.0031357397030862266,0.004395193327988252
6.0,1.832,677.36,0.9810700000000001,937.0,511.6,677.3835084033132,0.9812647912433653,937.0416017460187,511.5889697293527,1.8316860643154733,0.30654567386138243,0.003470592198118183,0.01985497909071654,0.004439887515328422,-0.0021560341374793346,-0.017136227321329477
7.0,1.928,650.66,0.8754300000000002,967.8,502.0,650.6859245271303,0.8755862171888509,967.7743205484306,501.9845977467973,1.9279509799467933,0.33784447503092946,0.003984343148544234,0.017844623653595626,-0.002653384125783642,-0.003068177928822191,-0.0025425338800112297
8.0,2.01,628.25,0.79332,992.7,493.7,628.2841734699437,0.793512676018861,992.6742497845138,493.74941301391357,2.010554826787224,0.3648182339334201,0.0054394699472659624,0.024287301323666632,-0.0025939574379241215,0.01000871256098268,0.027603322747471792
10.0,2.148,592.26,0.67322,1031.1,480.2,592.3075294574359,0.6734545158321363,1031.1351898895339,480.1606279365335,2.147585311120054,0.40994389811184895,0.008025100029684928,0.03483494728859782,0.0034128493389573578,-0.008199096931793548,-0.019305813777751972
12.0,2.259,564.18,0.58894,1060.0,469.2,564.2213819136213,0.5890616705787123,1059.9802994753675,469.2171709555988,2.2591082359834913,0.4471246135207948,0.00733487780872899,0.020659248601262448,-0.0018585400596737855,0.003659623955409863,0.0047913228637189685
15.0,2.396,531.39,0.5002300000000001,1092.4,456.0,531.4470562270299,0.5004399596190809,1092.4241138431444,456.02649807162226,2.3956645333488247,0.4933767572839178,0.010737166117147368,0.04197261641263328,0.002207418815847184,0.005810980618914385,-0.014001112319500474
20.0,2.573,491.59,0.40554,1130.3,439.3,491.6334634268049,0.4055843137345683,1130.2883641587118,439.34830000158576,2.5726951727753335,0.5547662333344622,0.008841397669789863,0.010927093398516163,-0.0010294471634142432,0.010994764758875952,-0.011847152144049907
25.0,2.711,462.57,0.34479000000000004,1156.9,426.7,462.64053485132825,0.34493431044463974,1156.8602944027757,426.6836473614295,2.711438385695969,0.6043097684949189,0.015248470788908897,0.04185459109593559,-0.003432068218889306,-0.0038323502625892125,0.016170626926201526
30.0,2.826,440.02,0.30205000000000004,1177.0,416.5,440.09211228241344,0.30216214757666476,1177.0111084733092,416.51243344787474,2.8260205586371208,0.6463216765949688,0.01638841016622372,0.037128812006193,0.0009437955232893813,0.0029852215785775016,0.0007274818514045785
40.0,3.01,406.48,0.24523000000000003,1206.2,400.8,406.53238466730323,0.24522156839454304,1206.2263794378594,400.7991395726669,3.009580161227407,0.7163433509316138,0.012887391090132816,-0.0034382438759528178,0.002186987055163847,-0.00021467747832737416,-0.013948131979822666
50.0,3.155,382.11,0.20869000000000001,1226.9,388.9,382.166140707267,0.20869475160942755,1226.8889309129013,388.9090739785285,3.1547337054951963,0.7750362948867658,0.014692289462980845,0.0022768745160384185,-0.000902199616825694,0.0023332421004162995,-0.0084403963487649
60.0,3.276,363.23,0.18295,1242.6,379.4,363.28632824298074,0.1829906779768739,1242.6060641090753,379.3930633006245,3.275356004947421,0.8267341897400485,0.015507596558861358,0.02223447765723474,0.00048801779135576595,-0.0018283340473157494,-0.019657968637934294
80.0,3.47,335.21,0.14868,1265.5,364.7,335.25439784409855,0.1486924359729802,1265.5113761917742,364.74315969299295,3.4696529684149406,0.9170671359611285,0.013244785089505662,0.008364254089454626,0.0008989483819998867,0.01183430024485066,-0.010000910232263804
100.0,3.624,314.92,0.12661,1281.8,353.7,314.94403652705955,0.12662486460933606,1281.8130083936683,353.69780113385974,3.6240927116516204,0.9975986878666657,0.00763258194447225,0.011740470212506793,0.001014853617431477,-0.0006216754708132655,0.0025582685325684557
130.0,3.81,292.57,0.10483,1299.4,341.1,292.5856782043952,0.10483710492350244,1299.4970000214853,341.0811019734642,3.8099644119480445,1.1115043093243235,0.0053587874338401065,0.00677756701559229,0.007464985492156018,-0.005540318538799216,-0.0009340696051333803
160.0,3.96,275.98,0.090298,1312.4,331.4,275.9508285751683,0.09030857715110484,1312.429256901768,331.3542327650056,3.9608093623096092,1.229911313741984,-0.010570122774000712,0.01171360506859731,0.0022292671264745323,-0.013810270064695818,0.020438442161850073
190.0,4.087,262.94,0.07981099999999999,1322.4,323.5,262.87105965431687,0.07983259748600008,1322.4847020322302,323.4847523779549,4.088246327514635,1.3770077326522923,-0.02621904072530601,0.02706078861320904,0.006405174851042972,-0.004713329843919478,0.03049492328443965
217.76,4.19,253.02,0.072365,1330.0,317.4,252.95181818382898,0.072386589195708,1330.0650823214037,317.3783888013616,4.190786547898989,1.9240631496007217,-0.026947204241178913,0.029833753483043957,0.004893407624328994,-0.006808821247117347,0.018772026228854908
217.77,4.19,253.02,0.072364,1330.0,317.4,252.94872099013423,0.07238416170191023,1330.0672268007884,317.37646264200646,4.19081873854399,1.9343522850266075,-0.028171294706258454,0.027861508360826903,0.0050546466758172315,-0.007415676746536093,0.019540299379219177
