Pinf/P,M_cea,T_cea,rho_cea,u_cea,a_cea,T_forge,rho_forge,u_forge,a_forge,M_forge,x_forge,dT,drho,du,da,dM
1.05,0.274,1147.82,3.3128,179.3,653.9,1147.8267025005482,3.312850884824413,179.17173269373689,653.8728704552107,0.2740173778714783,-0.338147266273071,0.0005839330686319144,0.0015360065326319727,-0.07153781721311869,-0.0041488828244840015,0.00634228886068012
1.1,0.384,1135.38,3.1969,249.9,650.5,1135.3718812675465,3.196962037846789,249.84007829077646,650.499854815942,0.3840761465143462,-0.24419064005833688,-0.0007150674182665462,0.0019405626322077651,-0.023978274999414406,-2.2318840597890244e-05,0.019829821444316647
1.2,0.534,1112.4,2.991,343.8,644.2,1112.3879028092028,2.9910941104760154,343.865264406446,644.2283198756477,0.5337637391233749,-0.15399931981204854,-0.001087485688355816,0.0031464552328719364,0.01898324794822326,0.004396130960504507,-0.04424360985488651
1.3,0.643,1091.6,2.8136,410.6,638.5,1091.5893401647008,2.8136345173606974,410.5677554188041,638.4991795303059,0.6430234341460525,-0.10181883934218273,-0.0009765330981181819,0.0012268041191809687,-0.007853039745719936,-0.0001284995605477235,0.0036445017188859665
1.4,0.731,1072.63,2.6588,462.9,633.2,1072.621127256566,2.658850831125945,462.9659588627292,633.2284076987689,0.7311212698891286,-0.06461018308365693,-0.0008271951590033133,0.0019118070537560428,0.014249052220627334,0.004486370620471192,0.016589588116092888
1.5,0.806,1055.22,2.5225,506.1,628.4,1055.2085651030366,2.522582491239005,506.16978767822457,628.3499689369763,0.8055605870330758,-0.03553960401095496,-0.0010836505149103282,0.0032702176017807005,0.01378930611035667,-0.007961658660671223,-0.054517737831797856
1.6,0.87,1039.14,2.4014,542.9,623.8,1039.1288834474346,2.4015228230582615,542.9337838662751,623.8106729775656,0.8703575156296866,-0.011548584812026579,-0.0010697839141426968,0.005114643885284487,0.006222852509707444,0.001710961456491411,0.041093750538684554
1.7,0.928,1024.22,2.2931,574.8,619.6,1024.2044549861607,2.2931989602228637,574.8596020634513,619.5670725991516,0.9278486276498547,0.008923026700855721,-0.0015177416804346144,0.004315565080625916,0.010369182924740983,-0.00531429968502195,-0.016311675662219357
1.8424,1.0,1004.7,2.157,614.0,614.0,1004.6825188989043,2.157110327048692,614.0104495409987,613.9707719640235,1.0000776017046094,0.03376394392712336,-0.0017399324271694105,0.0051148376769560855,0.001701879641480275,-0.004760266445691386,0.007760170460935356
1.85,1.004,1003.71,2.1502,615.9,613.7,1003.6915990035686,2.1503683563513727,615.928588496764,613.6853398964139,1.0036681546981598,0.03497699594577466,-0.0018332981071678134,0.007829799617375954,0.004641743264155451,-0.0023888061896903956,-0.03305232090041447
2.0,1.07,985.09,2.0266,650.8,608.3,985.0758835881436,2.026661470321772,650.8537585328781,608.2959803249481,1.069971776383984,0.057070124459232124,-0.001433007324858071,0.0030331748629208732,0.008260376902002875,-0.0006608047101508419,-0.0026377211229967642
2.25,1.165,957.5,1.8533,699.2,600.2,957.4895551480579,1.853389665472895,699.1974276629815,600.211327375485,1.1649293053766046,0.08787019268940453,-0.0010908461558378768,0.004838152101394044,-0.0003678971708498402,0.0018872668252178926,-0.006068208016779756
2.5,1.246,933.36,1.7111,738.7,593.0,933.3543735260098,1.7112296161653366,738.7090913114613,593.0389797482601,1.245650674246288,0.11356725901246242,-0.0006028192755413997,0.007575019889927148,0.0012307176744608128,0.006573313365954014,-0.028035774776238975
3.0,1.378,892.76,1.4908,800.4,580.8,892.7607853135314,1.4908535560342935,800.4166117298973,580.7593362953502,1.3782388203448472,0.1555691447870902,8.796468606853125e-05,0.003592435893051693,0.00207542852290743,-0.007001326558153664,0.01733093939385674
3.5,1.485,859.57,1.3271,847.2,570.5,859.5788936446355,1.3272608631204568,847.1738455351352,570.5075545950045,1.484972603319717,0.1895962009889032,0.0010346620560763853,0.0121214015866844,-0.0030871653523112386,0.001324205960484548,-0.0018448942951558899
4.0,1.574,831.64,1.2002,884.4,561.7,831.656955988275,1.2004030157436862,884.3690542442936,561.7220403589121,1.5744255149425634,0.21824526887069792,0.0020388615596944604,0.016915159447283834,-0.0034990678094093397,0.0039238666391439025,0.027033986185729122
5.0,1.719,786.63,1.0151,940.8,547.2,786.64851490603,1.015269040373012,940.8068620470539,547.2319042930606,1.7192466324747238,0.26453259578531757,0.0023536994558925883,0.016652583293486067,0.0007293842531730377,0.005830462913114509,0.014347438901900737
6.0,1.834,751.35,0.8856700000000001,982.4,535.6,751.3780812517373,0.8858614491452885,982.3852775727999,535.566401591453,1.8343517661394837,0.30119790138607705,0.0037374395071898547,0.021616306896299342,-0.0014986184039167405,-0.006273041177562444,0.01918026932844179
