x_m,r_m,x_over_rt,r_over_rt
# M4.19 vitiated-air nozzle [euler] inviscid design wall (AxisMachCFDWall)
# R=2, L_U=6, L_c=8 (r_t units), M_d=4.3; r_t=0.200512 m
# throat x=0.000000 m r=0.200512 m; exit x=5.028950 m r=0.798450 m
-1.303328000000000042e+00,7.619456000000000007e-01,-6.500000000000000000e+00,3.799999999999999822e+00
-1.299870896551724053e+00,7.619456000000000007e-01,-6.482758620689654805e+00,3.799999999999999822e+00
-1.296413793103448286e+00,7.619456000000000007e-01,-6.465517241379310498e+00,3.799999999999999822e+00
-1.292956689655172298e+00,7.619456000000000007e-01,-6.448275862068965303e+00,3.799999999999999822e+00
-1.289499586206896531e+00,7.619456000000000007e-01,-6.431034482758620996e+00,3.799999999999999822e+00
-1.286042482758620542e+00,7.619456000000000007e-01,-6.413793103448275801e+00,3.799999999999999822e+00
-1.282585379310344775e+00,7.619456000000000007e-01,-6.396551724137930606e+00,3.799999999999999822e+00
-1.279128275862069009e+00,7.619456000000000007e-01,-6.379310344827586299e+00,3.799999999999999822e+00
-1.275671172413793020e+00,7.619456000000000007e-01,-6.362068965517241104e+00,3.799999999999999822e+00
-1.272214068965517253e+00,7.619456000000000007e-01,-6.344827586206896797e+00,3.799999999999999822e+00
-1.268756965517241264e+00,7.619456000000000007e-01,-6.327586206896551602e+00,3.799999999999999822e+00
-1.265299862068965497e+00,7.619456000000000007e-01,-6.310344827586207295e+00,3.799999999999999822e+00
-1.261842758620689731e+00,7.619456000000000007e-01,-6.293103448275862100e+00,3.799999999999999822e+00
-1.258385655172413742e+00,7.619456000000000007e-01,-6.275862068965516904e+00,3.799999999999999822e+00
-1.254928551724137975e+00,7.619456000000000007e-01,-6.258620689655172598e+00,3.799999999999999822e+00
-1.251471448275861986e+00,7.619456000000000007e-01,-6.241379310344827402e+00,3.799999999999999822e+00
-1.248014344827586219e+00,7.619456000000000007e-01,-6.224137931034483096e+00,3.799999999999999822e+00
-1.244557241379310231e+00,7.619456000000000007e-01,-6.206896551724137900e+00,3.799999999999999822e+00
-1.241100137931034464e+00,7.619456000000000007e-01,-6.189655172413792705e+00,3.799999999999999822e+00
-1.237643034482758697e+00,7.619456000000000007e-01,-6.172413793103448398e+00,3.799999999999999822e+00
-1.234185931034482708e+00,7.619456000000000007e-01,-6.155172413793103203e+00,3.799999999999999822e+00
-1.230728827586206942e+00,7.619456000000000007e-01,-6.137931034482758896e+00,3.799999999999999822e+00
-1.227271724137930953e+00,7.619456000000000007e-01,-6.120689655172413701e+00,3.799999999999999822e+00
-1.223814620689655186e+00,7.619456000000000007e-01,-6.103448275862069394e+00,3.799999999999999822e+00
-1.220357517241379197e+00,7.619456000000000007e-01,-6.086206896551724199e+00,3.799999999999999822e+00
-1.216900413793103430e+00,7.619456000000000007e-01,-6.068965517241379004e+00,3.799999999999999822e+00
-1.213443310344827664e+00,7.619456000000000007e-01,-6.051724137931034697e+00,3.799999999999999822e+00
-1.209986206896551675e+00,7.619456000000000007e-01,-6.034482758620689502e+00,3.799999999999999822e+00
-1.206529103448275908e+00,7.619456000000000007e-01,-6.017241379310345195e+00,3.799999999999999822e+00
-1.203071999999999919e+00,7.619456000000000007e-01,-6.000000000000000000e+00,3.799999999999999822e+00
-1.197026412060301359e+00,7.619451196323093756e-01,-5.969849246231155426e+00,3.799997604294552911e+00
-1.190980824120603021e+00,7.619417814869435812e-01,-5.939698492462311741e+00,3.799980956186879588e+00
-1.184935236180904461e+00,7.619327946938931895e-01,-5.909547738693467167e+00,3.799936136958851574e+00
-1.178889648241206123e+00,7.619154408266183287e-01,-5.879396984924623482e+00,3.799849589184778775e+00
-1.172844060301507563e+00,7.618870733006657403e-01,-5.849246231155778908e+00,3.799708113732174208e+00
-1.166798472361809003e+00,7.618451167722863904e-01,-5.819095477386934334e+00,3.799498866762519800e+00
-1.160752884422110665e+00,7.617870665370530814e-01,-5.788944723618090649e+00,3.799209356732031750e+00
-1.154707296482412104e+00,7.617104879284778418e-01,-5.758793969849246075e+00,3.798827441392424564e+00
-1.148661708542713544e+00,7.616130157166289827e-01,-5.728643216080402389e+00,3.798341324791678186e+00
-1.142616120603014984e+00,7.614923535067489313e-01,-5.698492462311557816e+00,3.797739554274801144e+00
-1.136570532663316424e+00,7.613462731378715098e-01,-5.668341708542713242e+00,3.797011017484596795e+00
-1.130524944723618086e+00,7.611726140814393249e-01,-5.638190954773869557e+00,3.796144939362428694e+00
-1.124479356783919526e+00,7.609692828399216014e-01,-5.608040201005024983e+00,3.795130879148986836e+00
-1.118433768844221188e+00,7.607342523454309058e-01,-5.577889447236181297e+00,3.793958727385049023e+00
-1.112388180904522628e+00,7.604655613583412022e-01,-5.547738693467336724e+00,3.792618702912250672e+00
-1.106342592964824068e+00,7.601613138659044644e-01,-5.517587939698492150e+00,3.791101349873845283e+00
-1.100297005025125729e+00,7.598196784808693982e-01,-5.487437185929648464e+00,3.789397534715475580e+00
-1.094251417085427169e+00,7.594388878400980536e-01,-5.457286432160803891e+00,3.787498443185934427e+00
-1.088205829145728609e+00,7.590172380031826593e-01,-5.427135678391960205e+00,3.785395577337928419e+00
-1.082160241206030049e+00,7.585530878510646779e-01,-5.396984924623115631e+00,3.783080752528849455e+00
-1.076114653266331489e+00,7.580448584846505300e-01,-5.366834170854271058e+00,3.780546094421533443e+00
-1.070069065326633151e+00,7.574910326234302049e-01,-5.336683417085427372e+00,3.777784035985029654e+00
-1.064023477386934591e+00,7.568901540040944287e-01,-5.306532663316582799e+00,3.774787314495364310e+00
-1.057977889447236253e+00,7.562408267791514982e-01,-5.276381909547739113e+00,3.771548968536304614e+00
-1.051932301507537693e+00,7.555417149155455592e-01,-5.246231155778894539e+00,3.768062335000127661e+00
-1.045886713567839132e+00,7.547915415932732186e-01,-5.216080402010049966e+00,3.764321046088380029e+00
-1.039841125628140794e+00,7.539890886040021556e-01,-5.185929648241206280e+00,3.760319026312650248e+00
-1.033795537688442234e+00,7.531331957496867346e-01,-5.155778894472361706e+00,3.756050489495325717e+00
-1.027749949748743674e+00,7.522227602411876157e-01,-5.125628140703517133e+00,3.751509935770366067e+00
-1.021704361809045114e+00,7.512567360968872565e-01,-5.095477386934673447e+00,3.746692148584061410e+00
-1.015658773869346554e+00,7.502341335413087453e-01,-5.065326633165828873e+00,3.741592191695802594e+00
-1.009613185929648216e+00,7.491540184037320804e-01,-5.035175879396985188e+00,3.736205406178842559e+00
-1.003567597989949656e+00,7.480155115168126700e-01,-5.005025125628140614e+00,3.730527407421065256e+00
-9.975220100502513176e-01,7.468177881151979447e-01,-4.974874371859296929e+00,3.724554082125747900e+00
-9.914764221105527575e-01,7.455600772341451909e-01,-4.944723618090452355e+00,3.718281585312326332e+00
