x_m,r_m,x_over_rt,r_over_rt
# M4.19 vitiated-air nozzle [euler] inviscid design wall (AxisMachCFDWall)
# R=2, L_U=6, L_c=10 (r_t units), M_d=4.75; r_t=0.165252 m
# throat x=0.000000 m r=0.165252 m; exit x=5.429500 m r=0.798450 m
-1.074138000000000037e+00,6.279576000000000047e-01,-6.500000000000000000e+00,3.799999999999999822e+00
-1.071288827586206915e+00,6.279576000000000047e-01,-6.482758620689654805e+00,3.799999999999999822e+00
-1.068439655172413794e+00,6.279576000000000047e-01,-6.465517241379310498e+00,3.799999999999999822e+00
-1.065590482758620672e+00,6.279576000000000047e-01,-6.448275862068965303e+00,3.799999999999999822e+00
-1.062741310344827772e+00,6.279576000000000047e-01,-6.431034482758620996e+00,3.799999999999999822e+00
-1.059892137931034428e+00,6.279576000000000047e-01,-6.413793103448275801e+00,3.799999999999999822e+00
-1.057042965517241306e+00,6.279576000000000047e-01,-6.396551724137930606e+00,3.799999999999999822e+00
-1.054193793103448407e+00,6.279576000000000047e-01,-6.379310344827586299e+00,3.799999999999999822e+00
-1.051344620689655285e+00,6.279576000000000047e-01,-6.362068965517241104e+00,3.799999999999999822e+00
-1.048495448275862163e+00,6.279576000000000047e-01,-6.344827586206896797e+00,3.799999999999999822e+00
-1.045646275862069041e+00,6.279576000000000047e-01,-6.327586206896551602e+00,3.799999999999999822e+00
-1.042797103448275919e+00,6.279576000000000047e-01,-6.310344827586207295e+00,3.799999999999999822e+00
-1.039947931034482798e+00,6.279576000000000047e-01,-6.293103448275862100e+00,3.799999999999999822e+00
-1.037098758620689676e+00,6.279576000000000047e-01,-6.275862068965516904e+00,3.799999999999999822e+00
-1.034249586206896554e+00,6.279576000000000047e-01,-6.258620689655172598e+00,3.799999999999999822e+00
-1.031400413793103432e+00,6.279576000000000047e-01,-6.241379310344827402e+00,3.799999999999999822e+00
-1.028551241379310532e+00,6.279576000000000047e-01,-6.224137931034483096e+00,3.799999999999999822e+00
-1.025702068965517189e+00,6.279576000000000047e-01,-6.206896551724137900e+00,3.799999999999999822e+00
-1.022852896551724067e+00,6.279576000000000047e-01,-6.189655172413792705e+00,3.799999999999999822e+00
-1.020003724137931167e+00,6.279576000000000047e-01,-6.172413793103448398e+00,3.799999999999999822e+00
-1.017154551724138045e+00,6.279576000000000047e-01,-6.155172413793103203e+00,3.799999999999999822e+00
-1.014305379310344923e+00,6.279576000000000047e-01,-6.137931034482758896e+00,3.799999999999999822e+00
-1.011456206896551802e+00,6.279576000000000047e-01,-6.120689655172413701e+00,3.799999999999999822e+00
-1.008607034482758680e+00,6.279576000000000047e-01,-6.103448275862069394e+00,3.799999999999999822e+00
-1.005757862068965558e+00,6.279576000000000047e-01,-6.086206896551724199e+00,3.799999999999999822e+00
-1.002908689655172436e+00,6.279576000000000047e-01,-6.068965517241379004e+00,3.799999999999999822e+00
-1.000059517241379314e+00,6.279576000000000047e-01,-6.051724137931034697e+00,3.799999999999999822e+00
-9.972103448275861926e-01,6.279576000000000047e-01,-6.034482758620689502e+00,3.799999999999999822e+00
-9.943611724137931818e-01,6.279576000000000047e-01,-6.017241379310345195e+00,3.799999999999999822e+00
-9.915120000000000600e-01,6.279576000000000047e-01,-6.000000000000000000e+00,3.799999999999999822e+00
-9.865295276381909062e-01,6.279572041048835374e-01,-5.969849246231155426e+00,3.799997604294552911e+00
-9.815470552763819745e-01,6.279544529717943080e-01,-5.939698492462311741e+00,3.799980956186879588e+00
-9.765645829145729317e-01,6.279470465047242156e-01,-5.909547738693467167e+00,3.799936136958851574e+00
-9.715821105527638890e-01,6.279327443119631091e-01,-5.879396984924623482e+00,3.799849589184778775e+00
-9.665996381909548463e-01,6.279093652104692502e-01,-5.849246231155778908e+00,3.799708113732174208e+00
-9.616171658291456925e-01,6.278747867302399976e-01,-5.819095477386934334e+00,3.799498866762519800e+00
-9.566346934673367608e-01,6.278269446186817149e-01,-5.788944723618090649e+00,3.799209356732031750e+00
-9.516522211055277181e-01,6.277638323449810098e-01,-5.758793969849246075e+00,3.798827441392424564e+00
-9.466697487437186753e-01,6.276835006044744203e-01,-5.728643216080402389e+00,3.798341324791678186e+00
-9.416872763819096326e-01,6.275840568230194316e-01,-5.698492462311557816e+00,3.797739554274801144e+00
-9.367048040201004788e-01,6.274636646613646063e-01,-5.668341708542713242e+00,3.797011017484596795e+00
-9.317223316582915471e-01,6.273205435195201574e-01,-5.638190954773869557e+00,3.796144939362428694e+00
-9.267398592964823933e-01,6.271529680411284113e-01,-5.608040201005024983e+00,3.795130879148986836e+00
