x_m,r_m,x_over_rt,r_over_rt
# M4.19 vitiated-air nozzle [euler] inviscid design wall (AxisMachCFDWall)
# R=2, L_U=6, L_c=8 (r_t units), M_d=4.19; r_t=0.210505 m
# throat x=0.000000 m r=0.210505 m; exit x=5.032269 m r=0.798452 m
-1.368282500000000068e+00,7.999189999999999356e-01,-6.500000000000000000e+00,3.799999999999999822e+00
-1.364653103448275839e+00,7.999189999999999356e-01,-6.482758620689654805e+00,3.799999999999999822e+00
-1.361023706896551833e+00,7.999189999999999356e-01,-6.465517241379310498e+00,3.799999999999999822e+00
-1.357394310344827604e+00,7.999189999999999356e-01,-6.448275862068965303e+00,3.799999999999999822e+00
-1.353764913793103597e+00,7.999189999999999356e-01,-6.431034482758620996e+00,3.799999999999999822e+00
-1.350135517241379368e+00,7.999189999999999356e-01,-6.413793103448275801e+00,3.799999999999999822e+00
-1.346506120689655139e+00,7.999189999999999356e-01,-6.396551724137930606e+00,3.799999999999999822e+00
-1.342876724137931133e+00,7.999189999999999356e-01,-6.379310344827586299e+00,3.799999999999999822e+00
-1.339247327586206904e+00,7.999189999999999356e-01,-6.362068965517241104e+00,3.799999999999999822e+00
-1.335617931034482897e+00,7.999189999999999356e-01,-6.344827586206896797e+00,3.799999999999999822e+00
-1.331988534482758668e+00,7.999189999999999356e-01,-6.327586206896551602e+00,3.799999999999999822e+00
-1.328359137931034661e+00,7.999189999999999356e-01,-6.310344827586207295e+00,3.799999999999999822e+00
-1.324729741379310433e+00,7.999189999999999356e-01,-6.293103448275862100e+00,3.799999999999999822e+00
-1.321100344827586204e+00,7.999189999999999356e-01,-6.275862068965516904e+00,3.799999999999999822e+00
-1.317470948275862197e+00,7.999189999999999356e-01,-6.258620689655172598e+00,3.799999999999999822e+00
-1.313841551724137968e+00,7.999189999999999356e-01,-6.241379310344827402e+00,3.799999999999999822e+00
-1.310212155172413739e+00,7.999189999999999356e-01,-6.224137931034483096e+00,3.799999999999999822e+00
-1.306582758620689733e+00,7.999189999999999356e-01,-6.206896551724137900e+00,3.799999999999999822e+00
-1.302953362068965504e+00,7.999189999999999356e-01,-6.189655172413792705e+00,3.799999999999999822e+00
-1.299323965517241497e+00,7.999189999999999356e-01,-6.172413793103448398e+00,3.799999999999999822e+00
-1.295694568965517268e+00,7.999189999999999356e-01,-6.155172413793103203e+00,3.799999999999999822e+00
-1.292065172413793039e+00,7.999189999999999356e-01,-6.137931034482758896e+00,3.799999999999999822e+00
-1.288435775862069033e+00,7.999189999999999356e-01,-6.120689655172413701e+00,3.799999999999999822e+00
-1.284806379310344804e+00,7.999189999999999356e-01,-6.103448275862069394e+00,3.799999999999999822e+00
-1.281176982758620797e+00,7.999189999999999356e-01,-6.086206896551724199e+00,3.799999999999999822e+00
-1.277547586206896568e+00,7.999189999999999356e-01,-6.068965517241379004e+00,3.799999999999999822e+00
-1.273918189655172339e+00,7.999189999999999356e-01,-6.051724137931034697e+00,3.799999999999999822e+00
-1.270288793103448333e+00,7.999189999999999356e-01,-6.034482758620689502e+00,3.799999999999999822e+00
