x_m,r_m,x_over_rt,r_over_rt
# M4.19 vitiated-air nozzle [ns] physical wall = inviscid + delta* normal offset (PhysicalNozzleWall)
# R=2, L_U=6, L_c=8 (r_t units), M_d=4.19; r_t=0.210505 m
# throat x=-0.000967 m r=0.212680 m; exit x=5.032269 m r=0.823474 m
-1.368282500000000068e+00,7.999189999999999356e-01,-6.500000000000000000e+00,3.799999999999999822e+00
-1.364653103448275839e+00,7.999189999999999356e-01,-6.482758620689654805e+00,3.799999999999999822e+00
-1.361023706896551833e+00,7.999189999999999356e-01,-6.465517241379310498e+00,3.799999999999999822e+00
-1.357394310344827604e+00,7.999189999999999356e-01,-6.448275862068965303e+00,3.799999999999999822e+00
-1.353764913793103597e+00,7.999189999999999356e-01,-6.431034482758620996e+00,3.799999999999999822e+00
-1.350135517241379368e+00,7.999189999999999356e-01,-6.413793103448275801e+00,3.799999999999999822e+00
-1.346506120689655139e+00,7.999189999999999356e-01,-6.396551724137930606e+00,3.799999999999999822e+00
-1.342876724137931133e+00,7.999189999999999356e-01,-6.379310344827586299e+00,3.799999999999999822e+00
-1.339247327586206904e+00,7.999189999999999356e-01,-6.362068965517241104e+00,3.799999999999999822e+00
-1.335617931034482897e+00,7.999189999999999356e-01,-6.344827586206896797e+00,3.799999999999999822e+00
-1.331988534482758668e+00,7.999189999999999356e-01,-6.327586206896551602e+00,3.799999999999999822e+00
-1.328359137931034661e+00,7.999189999999999356e-01,-6.310344827586207295e+00,3.799999999999999822e+00
-1.324729741379310433e+00,7.999189999999999356e-01,-6.293103448275862100e+00,3.799999999999999822e+00
-1.321100344827586204e+00,7.999189999999999356e-01,-6.275862068965516904e+00,3.799999999999999822e+00
-1.317470948275862197e+00,7.999189999999999356e-01,-6.258620689655172598e+00,3.799999999999999822e+00
-1.313841551724137968e+00,7.999189999999999356e-01,-6.241379310344827402e+00,3.799999999999999822e+00
-1.310212155172413739e+00,7.999189999999999356e-01,-6.224137931034483096e+00,3.799999999999999822e+00
-1.306582758620689733e+00,7.999189999999999356e-01,-6.206896551724137900e+00,3.799999999999999822e+00
-1.302953362068965504e+00,7.999189999999999356e-01,-6.189655172413792705e+00,3.799999999999999822e+00
-1.299323965517241497e+00,7.999189999999999356e-01,-6.172413793103448398e+00,3.799999999999999822e+00
-1.295694568965517268e+00,7.999189999999999356e-01,-6.155172413793103203e+00,3.799999999999999822e+00
-1.292065172413793039e+00,7.999189999999999356e-01,-6.137931034482758896e+00,3.799999999999999822e+00
-1.288435775862069033e+00,7.999189999999999356e-01,-6.120689655172413701e+00,3.799999999999999822e+00
-1.284806379310344804e+00,7.999189999999999356e-01,-6.103448275862069394e+00,3.799999999999999822e+00
-1.281176982758620797e+00,7.999189999999999356e-01,-6.086206896551724199e+00,3.799999999999999822e+00
-1.277547586206896568e+00,7.999189999999999356e-01,-6.068965517241379004e+00,3.799999999999999822e+00
-1.273918189655172339e+00,7.999189999999999356e-01,-6.051724137931034697e+00,3.799999999999999822e+00
-1.270288793103448333e+00,7.999189999999999356e-01,-6.034482758620689502e+00,3.799999999999999822e+00
-1.266659396551724104e+00,7.999189999999999356e-01,-6.017241379310345195e+00,3.799999999999999822e+00
-1.263030000000000097e+00,7.999189999999999356e-01,-6.000000000000000000e+00,3.799999999999999822e+00
-1.256687976471587476e+00,7.999185145619593929e-01,-5.969872337814244645e+00,3.799997693935817988e+00
-1.250345952943175076e+00,7.999151406759672511e-01,-5.939744675628489290e+00,3.799981666354562915e+00
-1.244003929414762899e+00,7.999060561302434591e-01,-5.909617013442734823e+00,3.799938510392833813e+00
-1.237661905886350500e+00,7.998885104461391782e-01,-5.879489351256979468e+00,3.799855159954106387e+00
-1.231319882357938100e+00,7.998598243011751929e-01,-5.849361689071224113e+00,3.799718886967887954e+00
-1.224977858829525479e+00,7.998173889520817648e-01,-5.819234026885468758e+00,3.799517298648876551e+00
-1.218635835301113302e+00,7.997586656578361541e-01,-5.789106364699714291e+00,3.799238334756115609e+00
-1.212293811772700902e+00,7.996811851027021412e-01,-5.758978702513958936e+00,3.798870264852151735e+00
-1.205951788244288503e+00,7.995825468192689911e-01,-5.728851040328203581e+00,3.798401685562191155e+00
-1.199609764715876103e+00,7.994604186114897537e-01,-5.698723378142448226e+00,3.797821517833257055e+00
-1.193267741187463704e+00,7.993125359777202288e-01,-5.668595715956693759e+00,3.797119004193345582e+00
-1.186925717659051305e+00,7.991367015337575985e-01,-5.638468053770938404e+00,3.796283706010582293e+00
-1.180583694130638905e+00,7.989307844358799482e-01,-5.608340391585183049e+00,3.795305500752380823e+00
-1.174241670602226506e+00,7.986927198038837883e-01,-5.578212729399427694e+00,3.794174579244596668e+00
-1.167899647073814107e+00,7.984205081441243523e-01,-5.548085067213672339e+00,3.792881442930687630e+00
-1.161557623545401929e+00,7.981122147725530080e-01,-5.517957405027917872e+00,3.791416901130866268e+00
-1.155215600016989308e+00,7.977659692377567779e-01,-5.487829742842162517e+00,3.789772068301260344e+00
-1.148873576488576909e+00,7.973799647439971938e-01,-5.457702080656407162e+00,3.787938361293067491e+00
-1.142531552960164509e+00,7.969524575742487071e-01,-5.427574418470651807e+00,3.785907496611713441e+00
-1.136189529431752332e+00,7.964817665132378766e-01,-5.397446756284897340e+00,3.783671487676007139e+00
-1.129847505903339933e+00,7.959662722704816673e-01,-5.367319094099141985e+00,3.781222642077298079e+00
-1.123505482374927533e+00,7.954044169033266387e-01,-5.337191431913386630e+00,3.778553558838634086e+00
-1.117163458846514912e+00,7.947947032399879097e-01,-5.307063769727631275e+00,3.775657125673917314e+00
-1.110821435318102735e+00,7.941356943025873472e-01,-5.276936107541876808e+00,3.772526516247059813e+00
-1.104479411789690335e+00,7.934260127301925314e-01,-5.246808445356121453e+00,3.769155187431142195e+00
-1.098137388261277936e+00,7.926643402018562767e-01,-5.216680783170366098e+00,3.765536876567569635e+00
-1.091795364732865536e+00,7.918494168596542648e-01,-5.186553120984610743e+00,3.761665598725228765e+00
-1.085453341204453137e+00,7.909800407317247872e-01,-5.156425458798855388e+00,3.757535643959643679e+00
-1.079111317676040738e+00,7.900550671553070448e-01,-5.126297796613100921e+00,3.753141574572134154e+00
-1.072769294147628338e+00,7.890734081997800020e-01,-5.096170134427345566e+00,3.748478222368969881e+00
-1.066427270619215939e+00,7.880340320897012418e-01,-5.066042472241590211e+00,3.743540685920530464e+00
-1.060085247090803540e+00,7.869359626278459308e-01,-5.035914810055834856e+00,3.738324327820460091e+00
-1.053743223562391362e+00,7.857782786182452295e-01,-5.005787147870080389e+00,3.732824771944824427e+00
-1.047401200033978741e+00,7.845601132892253693e-01,-4.975659485684325034e+00,3.727037900711267504e+00
-1.041059176505566342e+00,7.832806537164465066e-01,-4.945531823498569679e+00,3.720959852338169949e+00
-1.034717152977153942e+00,7.819391402459410223e-01,-4.915404161312814324e+00,3.714587018103802762e+00
-1.028375129448741543e+00,7.805348659171529313e-01,-4.885276499127058969e+00,3.707916039605486436e+00
-1.022033105920329366e+00,7.790671758859766260e-01,-4.855148836941304502e+00,3.700943806018748283e+00
-1.015691082391916966e+00,7.775354668477948428e-01,-4.825021174755549147e+00,3.693667451356475340e+00
-1.009349058863504345e+00,7.759391864605185152e-01,-4.794893512569793792e+00,3.686084351728075692e+00
-1.003007035335092167e+00,7.742778327676252959e-01,-4.764765850384039325e+00,3.678192122598633151e+00
