x_m,r_m,x_over_rt,r_over_rt
# M4.19 vitiated-air nozzle [ns] physical wall = inviscid + delta* normal offset (PhysicalNozzleWall, delta* from dstar_v4.csv)
# R=2, L_U=6, L_c=8 (r_t units), M_d=4.19; r_t=0.210505 m
# throat x=-0.000693 m r=0.211627 m; exit x=5.032269 m r=0.824889 m
-1.368282500000000068e+00,7.999189999999999356e-01,-6.500000000000000000e+00,3.799999999999999822e+00
-1.364653103448275839e+00,7.999189999999999356e-01,-6.482758620689654805e+00,3.799999999999999822e+00
-1.361023706896551833e+00,7.999189999999999356e-01,-6.465517241379310498e+00,3.799999999999999822e+00
-1.357394310344827604e+00,7.999189999999999356e-01,-6.448275862068965303e+00,3.799999999999999822e+00
-1.353764913793103597e+00,7.999189999999999356e-01,-6.431034482758620996e+00,3.799999999999999822e+00
-1.350135517241379368e+00,7.999189999999999356e-01,-6.413793103448275801e+00,3.799999999999999822e+00
-1.346506120689655139e+00,7.999189999999999356e-01,-6.396551724137930606e+00,3.799999999999999822e+00
-1.342876724137931133e+00,7.999189999999999356e-01,-6.379310344827586299e+00,3.799999999999999822e+00
-1.339247327586206904e+00,7.999189999999999356e-01,-6.362068965517241104e+00,3.799999999999999822e+00
-1.335617931034482897e+00,7.999189999999999356e-01,-6.344827586206896797e+00,3.799999999999999822e+00
-1.331988534482758668e+00,7.999189999999999356e-01,-6.327586206896551602e+00,3.799999999999999822e+00
-1.328359137931034661e+00,7.999189999999999356e-01,-6.310344827586207295e+00,3.799999999999999822e+00
-1.324729741379310433e+00,7.999189999999999356e-01,-6.293103448275862100e+00,3.799999999999999822e+00
-1.321100344827586204e+00,7.999189999999999356e-01,-6.275862068965516904e+00,3.799999999999999822e+00
-1.317470948275862197e+00,7.999189999999999356e-01,-6.258620689655172598e+00,3.799999999999999822e+00
-1.313841551724137968e+00,7.999189999999999356e-01,-6.241379310344827402e+00,3.799999999999999822e+00
-1.310212155172413739e+00,7.999189999999999356e-01,-6.224137931034483096e+00,3.799999999999999822e+00
-1.306582758620689733e+00,7.999189999999999356e-01,-6.206896551724137900e+00,3.799999999999999822e+00
-1.302953362068965504e+00,7.999189999999999356e-01,-6.189655172413792705e+00,3.799999999999999822e+00
-1.299323965517241497e+00,7.999189999999999356e-01,-6.172413793103448398e+00,3.799999999999999822e+00
-1.295694568965517268e+00,7.999189999999999356e-01,-6.155172413793103203e+00,3.799999999999999822e+00
-1.292065172413793039e+00,7.999189999999999356e-01,-6.137931034482758896e+00,3.799999999999999822e+00
-1.288435775862069033e+00,7.999189999999999356e-01,-6.120689655172413701e+00,3.799999999999999822e+00
-1.284806379310344804e+00,7.999189999999999356e-01,-6.103448275862069394e+00,3.799999999999999822e+00
-1.281176982758620797e+00,7.999189999999999356e-01,-6.086206896551724199e+00,3.799999999999999822e+00
-1.277547586206896568e+00,7.999189999999999356e-01,-6.068965517241379004e+00,3.799999999999999822e+00
-1.273918189655172339e+00,7.999189999999999356e-01,-6.051724137931034697e+00,3.799999999999999822e+00
-1.270288793103448333e+00,7.999189999999999356e-01,-6.034482758620689502e+00,3.799999999999999822e+00
-1.266659396551724104e+00,7.999189999999999356e-01,-6.017241379310345195e+00,3.799999999999999822e+00
-1.263030000000000097e+00,7.999189999999999356e-01,-6.000000000000000000e+00,3.799999999999999822e+00
-1.256686596875047579e+00,7.999185027782990121e-01,-5.969865784067112990e+00,3.799997637957763796e+00
-1.250343193750095283e+00,7.999150473296858799e-01,-5.939731568134225981e+00,3.799981222914828205e+00
-1.243999790625142765e+00,7.999057441861737727e-01,-5.909597352201338971e+00,3.799937028508461712e+00
-1.237656387500190469e+00,7.998877783336947322e-01,-5.879463136268451962e+00,3.799851682067859393e+00
-1.231312984375238173e+00,7.998584086007005656e-01,-5.849328920335564952e+00,3.799712161709700720e+00
-1.224969581250285655e+00,7.998149670467620265e-01,-5.819194704402677942e+00,3.799505793433704870e+00
-1.218626178125333359e+00,7.997548583511702169e-01,-5.789060488469790933e+00,3.799220248218190488e+00
-1.212282775000380841e+00,7.996755592015354352e-01,-5.758926272536903923e+00,3.798843539115628776e+00
-1.205939371875428545e+00,7.995746176823885776e-01,-5.728792056604016913e+00,3.798364018348203697e+00
-1.199595968750476249e+00,7.994496526637812073e-01,-5.698657840671129904e+00,3.797770374403369065e+00
-1.193252565625523953e+00,7.992983531898849581e-01,-5.668523624738243782e+00,3.797051629129402972e+00
-1.186909162500571657e+00,7.991184778675926026e-01,-5.638389408805356773e+00,3.796197134830966657e+00
-1.180565759375619139e+00,7.989078542551181217e-01,-5.608255192872469763e+00,3.795196571364662042e+00
-1.174222356250666843e+00,7.986643782505968847e-01,-5.578120976939582754e+00,3.794039943234587930e+00
-1.167878953125714547e+00,7.983860134806854969e-01,-5.547986761006695744e+00,3.792717576687895775e+00
-1.161535550000762029e+00,7.980707906891626457e-01,-5.517852545073808734e+00,3.791220116810349428e+00
-1.155192146875809733e+00,7.977168071255288373e-01,-5.487718329140921725e+00,3.789538524621880011e+00
-1.148848743750857437e+00,7.973222259336072426e-01,-5.457584113208034715e+00,3.787664074172144346e+00
-1.142505340625904919e+00,7.968852755401432120e-01,-5.427449897275147705e+00,3.785588349636080707e+00
-1.136161937500952623e+00,7.964042490434048993e-01,-5.397315681342260696e+00,3.783303242409467249e+00
-1.129818534376000105e+00,7.958775036017834426e-01,-5.367181465409373686e+00,3.780800948204476875e+00
-1.123475131251047809e+00,7.953034598223931440e-01,-5.337047249476486677e+00,3.778073964145236996e+00
-1.117131728126095513e+00,7.946806011496718725e-01,-5.306913033543599667e+00,3.775115085863385289e+00
-1.110788325001142995e+00,7.940074732539810221e-01,-5.276778817610712657e+00,3.771917404593625012e+00
-1.104444921876190699e+00,7.932826834202059141e-01,-5.246644601677825648e+00,3.768474304269285646e+00
-1.098101518751238403e+00,7.925048999363563107e-01,-5.216510385744938638e+00,3.764779458617877328e+00
-1.091758115626285885e+00,7.916728514821657070e-01,-5.186376169812051629e+00,3.760826828256647936e+00
-1.085414712501333590e+00,7.907853265176926216e-01,-5.156241953879164619e+00,3.756610657788141072e+00
-1.079071309376381071e+00,7.898411726719204440e-01,-5.126107737946277609e+00,3.752125472895752711e+00
-1.072727906251428776e+00,7.888392961313575036e-01,-5.095973522013390600e+00,3.747366077439288734e+00
-1.066384503126476480e+00,7.877786610286372504e-01,-5.065839306080503590e+00,3.742327550550520243e+00
-1.060041100001524184e+00,7.866582888311192123e-01,-5.035705090147617469e+00,3.737005243728743764e+00
-1.053697696876571666e+00,7.854772577294880653e-01,-5.005570874214729571e+00,3.731394777936334339e+00
-1.047354293751619370e+00,7.842347020263548130e-01,-4.975436658281843449e+00,3.725492040694305729e+00
-1.041010890626667074e+00,7.829298115248565226e-01,-4.945302442348956440e+00,3.719293183177865281e+00
-1.034667487501714778e+00,7.815618309172569500e-01,-4.915168226416069430e+00,3.712794617311973244e+00
-1.028324084376762260e+00,7.801300591735462753e-01,-4.885034010483182421e+00,3.705993012866897640e+00
-1.021980681251809964e+00,7.786338489300418386e-01,-4.854899794550295411e+00,3.698885294553772241e+00
-1.015637278126857446e+00,7.770726058779879875e-01,-4.824765578617408401e+00,3.691468639120154105e+00
-1.009293875001905150e+00,7.754457881521564788e-01,-4.794631362684521392e+00,3.683740472445578451e+00
-1.002950471876952854e+00,7.737529057194466597e-01,-4.764497146751634382e+00,3.675698466637118855e+00
-9.966070687520004467e-01,7.719935197674859806e-01,-4.734362930818747373e+00,3.667340537124942568e+00
-9.902636656270480398e-01,7.701672420932296204e-01,-4.704228714885860363e+00,3.658664839757866272e+00
-9.839202625020956328e-01,7.682737344915612221e-01,-4.674094498952973353e+00,3.649669767898915840e+00
-9.775768593771432258e-01,7.663127081438931842e-01,-4.643960283020086344e+00,3.640353949520881649e+00
-9.712334562521909298e-01,7.642839230067662859e-01,-4.613826067087199334e+00,3.630716244301875673e+00
-9.648900531272385228e-01,7.621871872004508663e-01,-4.583691851154312324e+00,3.620755740720889460e+00
-9.585466500022861158e-01,7.600223563975457841e-01,-4.553557635221425315e+00,3.610471753153349450e+00
-9.522032468773337088e-01,7.577893332115800407e-01,-4.523423419288538305e+00,3.599863818966675844e+00
-9.458598437523814129e-01,7.554880665856121835e-01,-4.493289203355651296e+00,3.588931695615839246e+00
-9.395164406274292279e-01,7.531185511808305977e-01,-4.463154987422765174e+00,3.577675357738916428e+00
-9.331730375024765989e-01,7.506808267651536859e-01,-4.433020771489877276e+00,3.566094994252647865e+00
-9.268296343775244139e-01,7.481749776018307152e-01,-4.402886555556991155e+00,3.554191005447997487e+00
-9.204862312525718959e-01,7.456011318380411090e-01,-4.372752339624103257e+00,3.541964000085704001e+00
