# Cabra et al. (NASA/CR-2004-212887, Fig. 6.6) H2/N2 lifted flame, centerline Favre averages; 図の目視読み取り (±3 %)
# z_over_d, T_K, Y_H2, Y_O2, Y_H2O
1, 305, 0.0245, 0.000, 0.000
4, 305, 0.0242, 0.001, 0.000
6, 320, 0.0235, 0.006, 0.002
8, 360, 0.0215, 0.016, 0.006
10, 400, 0.0195, 0.026, 0.011
12, 480, 0.0180, 0.033, 0.018
14, 620, 0.0160, 0.032, 0.030
16, 770, 0.0135, 0.025, 0.048
18, 930, 0.0110, 0.017, 0.063
20, 1120, 0.0075, 0.010, 0.082
24, 1340, 0.0035, 0.010, 0.102
26, 1410, 0.0020, 0.015, 0.110
30, 1490, 0.0005, 0.031, 0.116
34, 1490, 0.0002, 0.045, 0.113
38, 1450, 0.0000, 0.064, 0.106
