# Cabra Fig. 6.4A radial Favre-averaged T [K] at z/d = 1, 9, 11, 14, 26 (目視読み取り ±30 K); r_mm, T_zd1, T_zd9, T_zd11, T_zd14, T_zd26
0, 305, 380, 600, 780, 1420
1, 305, 400, 560, 700, 1420
2, 305, 380, 470, 660, 1430
3, 700, 480, 560, 760, 1440
4, 1040, 750, 850, 1000, 1450
5, 1045, 950, 1050, 1200, 1420
6, 1045, 1000, 1140, 1350, 1400
7, 1045, 1020, 1160, 1380, 1380
8, 1045, 1040, 1100, 1300, 1350
10, 1045, 1045, 1050, 1150, 1280
12, 1045, 1045, 1045, 1080, 1220
15, 1045, 1045, 1045, 1050, 1170
20, 1045, 1045, 1045, 1045, 1100
30, 1045, 1045, 1045, 1045, 1050
